Date,Overnight,1-Week,1-Month,2-Month,3-Month,6-Month,1-Year
1/2/86,,,8.125,,8,8,8.0625
1/3/86,,,8.125,,8.0625,8.0625,8.125
1/6/86,,,8.1875,,8.125,8.125,8.125
1/7/86,,,8.125,,8.125,8.125,8.125
1/8/86,,,8,,8,8,8.0625
1/9/86,,,8.1875,,8.1875,8.1875,8.3125
1/10/86,,,8.25,,8.25,8.25,8.375
1/13/86,,,8.3125,,8.375,8.375,8.5625
1/14/86,,,8.375,,8.375,8.375,8.625
1/15/86,,,8.25,,8.25,8.25,8.5
1/16/86,,,8.1875,,8.1875,8.1875,8.375
1/17/86,,,8.1875,,8.1875,8.1875,8.3125
1/20/86,,,8.25,,8.25,8.25,8.5
1/21/86,,,8.1875,,8.1875,8.1875,8.375
1/22/86,,,8.1875,,8.1875,8.1875,8.375
1/23/86,,,8.1875,,8.1875,8.25,8.4375
1/24/86,,,8.1875,,8.1875,8.1875,8.375
1/27/86,,,8.125,,8.125,8.125,8.3125
1/28/86,,,8.0625,,8.0625,8.125,8.25
1/29/86,,,8.0625,,8.0625,8.0625,8.25
1/30/86,,,8.0625,,8.0625,8.125,8.25
1/31/86,,,8.0625,,8.0625,8.125,8.25
2/3/86,,,8.0625,,8.0625,8.0625,8.25
2/4/86,,,8.0313,,8.0625,8.0625,8.2188
2/5/86,,,8,,8,8,8.1825
2/6/86,,,8,,8,8.031,8.1825
2/7/86,,,8,,8.0625,8.0625,8.25
2/10/86,,,8.0625,,8.125,8.125,8.3125
2/11/86,,,8.0313,,8.0625,8.125,8.3125
2/12/86,,,8.0625,,8.0625,8.125,8.2813
2/13/86,,,8.0625,,8.0625,8.125,8.25
2/14/86,,,8,,8.0625,8.0625,8.25
2/17/86,,,8,,8,8,8.125
2/18/86,,,8,,8,8,8.0938
2/19/86,,,8,,8,8,8.125
2/20/86,,,8,,8,8,8.125
2/21/86,,,8,,8,8,8.125
2/24/86,,,8,,8,8,8.125
2/25/86,,,7.9375,,7.9375,7.969,8.0625
2/26/86,,,8,,8,8,8.0625
2/27/86,,,7.9688,,7.9375,7.9375,8
2/28/86,,,7.9375,,7.875,7.875,7.9375
3/3/86,,,7.9375,,7.875,7.875,7.9375
3/4/86,,,7.9063,,7.75,7.75,7.8125
3/5/86,,,7.8125,,7.6875,7.6875,7.75
3/6/86,,,7.8125,,7.6875,7.6875,7.75
3/7/86,,,7.6563,,7.5625,7.5625,7.6875
3/10/86,,,7.5625,,7.5625,7.5625,7.625
3/11/86,,,7.5,,7.5,7.5,7.5
3/12/86,,,7.5,,7.4375,7.4375,7.4375
3/13/86,,,7.5625,,7.5,7.4375,7.5
3/14/86,,,7.5625,,7.5,7.5,7.5
3/17/86,,,7.5625,,7.5,7.5,7.5
3/18/86,,,7.625,,7.5,7.4688,7.5
3/19/86,,,7.6875,,7.5625,7.5,7.5
3/20/86,,,7.6875,,7.5625,7.5,7.5625
3/21/86,,,7.625,,7.5,7.5,7.5313
3/24/86,,,7.625,,7.5625,7.5,7.5625
3/25/86,,,7.625,,7.5625,7.5,7.5313
3/26/86,,,7.5625,,7.5625,7.5,7.5
3/27/86,,,7.5,,7.4375,7.4375,7.4375
3/28/86,,,7.5,,7.4375,7.4375,7.4375
3/31/86,,,7.5,,7.4375,7.4375,7.4375
4/1/86,,,7.4375,,7.3125,7.1875,7.1875
4/2/86,,,7.4375,,7.3125,7.1875,7.1875
4/3/86,,,7.4375,,7.3125,7.1875,7.25
4/4/86,,,7.5,,7.3475,7.25,7.2813
4/7/86,,,7.4063,,7.25,7.1875,7.1875
