DATE,USD12MD156N
2013-08-21,0.66610
2013-08-22,0.67310
2013-08-23,0.67560
2013-08-26,.
2013-08-27,0.66810
2013-08-28,0.66760
2013-08-29,0.66710
2013-08-30,0.66710
2013-09-02,0.66810
2013-09-03,0.66910
2013-09-04,0.66810
2013-09-05,0.67510
2013-09-06,0.67510
2013-09-09,0.66560
2013-09-10,0.66560
2013-09-11,0.66510
2013-09-12,0.66360
2013-09-13,0.66360
2013-09-16,0.65610
2013-09-17,0.65160
2013-09-18,0.65010
2013-09-19,0.63860
2013-09-20,0.63860
2013-09-23,0.63760
2013-09-24,0.63510
2013-09-25,0.63310
2013-09-26,0.63110
2013-09-27,0.62610
2013-09-30,0.62940
2013-10-01,0.62665
2013-10-02,0.62315
2013-10-03,0.62265
2013-10-04,0.61860
2013-10-07,0.62085
2013-10-08,0.62335
2013-10-09,0.63110
2013-10-10,0.62710
2013-10-11,0.62760
2013-10-14,0.63160
2013-10-15,0.62910
2013-10-16,0.62960
2013-10-17,0.62010
2013-10-18,0.61410
2013-10-21,0.61310
2013-10-22,0.61260
2013-10-23,0.60860
2013-10-24,0.60660
2013-10-25,0.60570
2013-10-28,0.60560
2013-10-29,0.60510
2013-10-30,0.60360
2013-10-31,0.60260
2013-11-01,0.60160
2013-11-04,0.59710
2013-11-05,0.59610
2013-11-06,0.59750
2013-11-07,0.59700
2013-11-08,0.59475
2013-11-11,0.59500
2013-11-12,0.59050
2013-11-13,0.59160
2013-11-14,0.58810
2013-11-15,0.58410
2013-11-18,0.58510
2013-11-19,0.58460
2013-11-20,0.58410
2013-11-21,0.57560
2013-11-22,0.57410
2013-11-25,0.57360
2013-11-26,0.57560
2013-11-27,0.57810
2013-11-28,0.57800
2013-11-29,0.57800
2013-12-02,0.57700
2013-12-03,0.57570
2013-12-04,0.57670
2013-12-05,0.57720
2013-12-06,0.57670
2013-12-09,0.57360
2013-12-10,0.57330
2013-12-11,0.57430
2013-12-12,0.57630
2013-12-13,0.58060
2013-12-16,0.57960
2013-12-17,0.58060
2013-12-18,0.57810
2013-12-19,0.58060
2013-12-20,0.58410
2013-12-23,0.58360
2013-12-24,0.58360
2013-12-25,.
2013-12-26,.
2013-12-27,0.58310
2013-12-30,0.58310
2013-12-31,0.58310
2014-01-01,.
2014-01-02,0.58260
2014-01-03,0.58460
2014-01-06,0.58540
2014-01-07,0.58660
2014-01-08,0.58560
2014-01-09,0.58460
2014-01-10,0.58260
2014-01-13,0.57360
2014-01-14,0.56810
2014-01-15,0.57160
2014-01-16,0.57160
2014-01-17,0.57210
2014-01-20,0.57210
2014-01-21,0.57260
2014-01-22,0.57110
2014-01-23,0.57250
2014-01-24,0.57210
2014-01-27,0.571
2014-01-28,0.571
2014-01-29,0.5704
2014-01-30,0.5694
2014-01-31,0.5654
2014-02-03,0.5629
2014-02-04,0.5617
2014-02-05,0.5594
2014-02-06,0.5579
2014-02-07,0.5584
2014-02-10,0.5509
2014-02-11,0.5533
2014-02-12,0.5538
2014-02-13,0.5523
2014-02-14,0.5508
2014-02-17,0.5523
2014-02-18,0.5533
2014-02-19,0.5533
2014-02-20,0.5538
2014-02-21,0.5553
2014-02-24,0.5533
2014-02-25,0.5533
2014-02-26,0.5505
2014-02-27,0.5523
2014-02-28,0.5533
2014-03-03,0.5538
2014-03-04,0.552
2014-03-05,0.5506
2014-03-06,0.552
2014-03-07,0.552
2014-03-10,0.5552
2014-03-11,0.5552
2014-03-12,0.5552
2014-03-13,0.557
2014-03-14,0.557
2014-03-17,0.5571
2014-03-18,0.5572
2014-03-19,0.5555
2014-03-20,0.56
2014-03-21,0.5641
2014-03-24,0.5641
2014-03-25,0.5616
2014-03-26,0.5621
2014-03-27,0.5616
2014-03-28,0.5586
2014-03-31,0.5581
2014-04-01,0.5536
2014-04-02,0.5551
2014-04-03,0.5551
2014-04-04,0.5556
2014-04-07,0.5521
