DATE,USD1WKD156N
2013-08-21,0.14883
2013-08-22,0.14833
2013-08-23,0.14833
2013-08-26,.
2013-08-27,0.14833
2013-08-28,0.14833
2013-08-29,0.14883
2013-08-30,0.14783
2013-09-02,0.14783
2013-09-03,0.14783
2013-09-04,0.14783
2013-09-05,0.14797
2013-09-06,0.14747
2013-09-09,0.14837
2013-09-10,0.14747
2013-09-11,0.14547
2013-09-12,0.14607
2013-09-13,0.14297
2013-09-16,0.14185
2013-09-17,0.14000
2013-09-18,0.14000
2013-09-19,0.13950
2013-09-20,0.14015
2013-09-23,0.14000
2013-09-24,0.13950
2013-09-25,0.13950
2013-09-26,0.13950
2013-09-27,0.13940
2013-09-30,0.13920
2013-10-01,0.13800
2013-10-02,0.13660
2013-10-03,0.13555
2013-10-04,0.13525
2013-10-07,0.13710
2013-10-08,0.13765
2013-10-09,0.13930
2013-10-10,0.13880
2013-10-11,0.13950
2013-10-14,0.14190
2013-10-15,0.13940
2013-10-16,0.13925
2013-10-17,0.13580
2013-10-18,0.13575
2013-10-21,0.13740
2013-10-22,0.13785
2013-10-23,0.13890
2013-10-24,0.13300
2013-10-25,0.13350
2013-10-28,0.13580
2013-10-29,0.13480
2013-10-30,0.13235
2013-10-31,0.13025
2013-11-01,0.13040
2013-11-04,0.13255
2013-11-05,0.13280
2013-11-06,0.12725
2013-11-07,0.12715
2013-11-08,0.12715
2013-11-11,0.13130
2013-11-12,0.12650
2013-11-13,0.12750
2013-11-14,0.12750
2013-11-15,0.12925
2013-11-18,0.13025
2013-11-19,0.12900
2013-11-20,0.12900
2013-11-21,0.12875
2013-11-22,0.12875
2013-11-25,0.12825
2013-11-26,0.13015
2013-11-27,0.13195
2013-11-28,0.12965
2013-11-29,0.12790
2013-12-02,0.12650
2013-12-03,0.12700
2013-12-04,0.12735
2013-12-05,0.12790
2013-12-06,0.12760
2013-12-09,0.12650
2013-12-10,0.12720
2013-12-11,0.12895
2013-12-12,0.12615
2013-12-13,0.12625
2013-12-16,0.12425
2013-12-17,0.12450
2013-12-18,0.12740
2013-12-19,0.12675
2013-12-20,0.12675
2013-12-23,0.12900
2013-12-24,0.13055
2013-12-25,.
2013-12-26,.
2013-12-27,0.12810
2013-12-30,0.12805
2013-12-31,0.12930
2014-01-01,.
2014-01-02,0.12930
2014-01-03,0.12445
2014-01-06,0.12250
2014-01-07,0.12620
2014-01-08,0.12205
2014-01-09,0.12395
2014-01-10,0.12150
2014-01-13,0.12575
2014-01-14,0.12490
2014-01-15,0.11925
2014-01-16,0.11825
2014-01-17,0.11995
2014-01-20,0.11800
2014-01-21,0.12000
2014-01-22,0.11800
2014-01-23,0.12105
2014-01-24,0.11775
2014-01-27,0.118
2014-01-28,0.122
2014-01-29,0.12495
2014-01-30,0.1239
2014-01-31,0.12215
2014-02-03,0.12075
2014-02-04,0.11985
2014-02-05,0.11975
2014-02-06,0.11925
2014-02-07,0.12175
2014-02-10,0.1195
2014-02-11,0.11875
2014-02-12,0.119
2014-02-13,0.11925
2014-02-14,0.118
2014-02-17,0.1165
2014-02-18,0.118
2014-02-19,0.118
2014-02-20,0.12
2014-02-21,0.11725
2014-02-24,0.1209
2014-02-25,0.1217
2014-02-26,0.1195
2014-02-27,0.12015
2014-02-28,0.12
2014-03-03,0.11815
2014-03-04,0.12135
2014-03-05,0.12115
2014-03-06,0.11805
2014-03-07,0.12
2014-03-10,0.1204
2014-03-11,0.124
2014-03-12,0.12075
2014-03-13,0.1234
2014-03-14,0.12125
2014-03-17,0.11975
2014-03-18,0.1213
2014-03-19,0.123
2014-03-20,0.12
2014-03-21,0.11975
2014-03-24,0.1195
2014-03-25,0.11875
2014-03-26,0.12275
2014-03-27,0.12275
2014-03-28,0.1201
2014-03-31,0.1195
2014-04-01,0.11885
2014-04-02,0.121
2014-04-03,0.1206
2014-04-04,0.12135
2014-04-07,0.1182
2014-04-08,0.1185
2014-04-09,0.11925
2014-04-10,0.12045
2014-04-11,0.11875
2014-04-14,0.1204
2014-04-15,0.12065
2014-04-16,0.1215
2014-04-17,0.11875
2014-04-18,.
2014-04-21,.
2014-04-22,0.11925
2014-04-23,0.1213
2014-04-24,0.11925
2014-04-25,0.11975
2014-04-28,0.122
2014-04-29,0.12075
2014-04-30,0.12175
2014-05-01,0.1225
2014-05-02,0.1195
2014-05-05,.
2014-05-06,0.1225
2014-05-07,0.11905
2014-05-08,0.12175
2014-05-09,0.11875
2014-05-12,0.1205
2014-05-13,0.12075
2014-05-14,0.11875
2014-05-15,0.121
2014-05-16,0.119
2014-05-19,0.1178
2014-05-20,0.11635
2014-05-21,0.1183
2014-05-22,0.1205
2014-05-23,0.1203
2014-05-26,.
2014-05-27,0.11925
2014-05-28,0.1202
2014-05-29,0.121
2014-05-30,0.119
2014-06-02,0.1209
2014-06-03,0.119
2014-06-04,0.122
2014-06-05,0.12
2014-06-06,0.122
2014-06-09,0.123
2014-06-10,0.123
2014-06-11,0.12255
2014-06-12,0.12025
2014-06-13,0.1235
2014-06-16,0.1235
2014-06-17,0.12375
2014-06-18,0.123
2014-06-19,0.123
2014-06-20,0.123
2014-06-23,0.123
2014-06-24,0.1235
2014-06-25,0.12325
2014-06-26,0.1225
2014-06-27,0.123
2014-06-30,0.123
2014-07-01,0.123
2014-07-02,0.123
2014-07-03,0.123
2014-07-04,0.123
2014-07-07,0.123
2014-07-08,0.12225
2014-07-09,0.1225
2014-07-10,0.12225
2014-07-11,0.12275
2014-07-14,0.1225
2014-07-15,0.12275
2014-07-16,0.12275
