Datetime,Timestamp,Price,VIX,2-Month-LIBOR,2-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2015-11-19,1447909200000,13.07,16.99,0.2915,,,,,,,,,,
2015-11-20,1447995600000,12.85,15.47,0.2955,,,,,,,,,,
2015-11-23,1448254800000,12.12,15.62,0.303,,,,,,,,,,
2015-11-24,1448341200000,12.02,15.93,0.311,,,,,,,,,,
2015-11-25,1448427600000,11.9,15.19,0.318,,,,,,,,,,
2015-11-27,1448600400000,12.05,15.12,0.325,,,,,,,,,,
2015-11-30,1448859600000,12.04,16.13,0.325,,,,,,,,,,
2015-12-01,1448946000000,11.91,14.67,0.32799999999999996,,,,,,,,,,
2015-12-02,1449032400000,11.93,15.91,0.32975,,,,,,,,,,
2015-12-03,1449118800000,11.92,18.11,0.3374,,,,,,,,,,
2015-12-04,1449205200000,12.04,14.81,0.3535,,,,,,,,,,
2015-12-07,1449464400000,12.36,15.84,0.3607,,,,,,,,,,
2015-12-08,1449550800000,12.12,17.6,0.3813,,,,,,,,,,
2015-12-09,1449637200000,11.99,19.61,0.39,,,,,,,,,,
2015-12-10,1449723600000,12.05,19.34,0.4014,,,,,,,,,,
2015-12-11,1449810000000,11.95,24.39,0.4129,,,,,,,,,,
2015-12-14,1450069200000,12.33,22.73,0.424,,,,,,,,,,
2015-12-15,1450155600000,12.47,20.95,0.43,,,,,,,,,,
2015-12-16,1450242000000,12.27,17.86,0.43675,,,,,,,,,,
2015-12-17,1450328400000,12.32,18.94,0.4405,,,,,,,,,,
2015-12-18,1450414800000,12.34,20.7,0.483,,,,,,,,,,
2015-12-21,1450674000000,12.24,18.7,0.4966,,,,,,,,,,
2015-12-22,1450760400000,12.46,16.6,0.5052,,,,,,,,,,
2015-12-23,1450846800000,12.5,15.57,0.5097,,,,,,,,,,
2015-12-24,1450933200000,12.6,15.74,0.5138,,,,,,,,,,
2015-12-28,1451278800000,12.83,16.91,0.5128,,,,,,,,,,
2015-12-29,1451365200000,12.74,16.08,0.5128,,,,,,,,,,
2015-12-30,1451451600000,12.78,17.29,0.5128,,,,,,,,,,
2015-12-31,1451538000000,13.09,18.21,0.5149,,,,,,,,,,
2016-01-04,1451883600000,12.16,20.7,0.5149,,,,,,,,,,
2016-01-05,1451970000000,11.51,19.34,0.5149,,,,,,,,,,
2016-01-06,1452056400000,11.52,20.59,0.5104,,,,,,,,,,
2016-01-07,1452142800000,11.16,24.99,0.5148,,,,,,,,,,
2016-01-08,1452229200000,11.31,27.01,0.5166,,,,,,,,,,
2016-01-11,1452488400000,11.84,24.3,0.51115,,,,,,,,,,
2016-01-12,1452574800000,12.09,22.47,0.51495,,,,,,,,,,
2016-01-13,1452661200000,11.61,25.22,0.51455,,,,,,,,,,
2016-01-14,1452747600000,10.82,23.95,0.51505,,,,,,,,,,
2016-01-15,1452834000000,10.27,27.02,0.5125,,,,,,,,,,
2016-01-19,1453179600000,9.47,26.05,0.514,,,,,,,,,,
2016-01-20,1453266000000,9.49,27.59,0.5133,,,,,,,,,,
2016-01-21,1453352400000,10.02,26.69,0.5133,,,,,,,,,,
2016-01-22,1453438800000,9.85,22.34,0.5138,,,,,,,,,,
2016-01-25,1453698000000,9.81,24.15,0.5148,,,,,,,,,,
2016-01-26,1453784400000,9.54,22.5,0.5168,,,,,,,,,,
2016-01-27,1453870800000,9.05,23.11,0.5185,,,,,,,,,,
2016-01-28,1453957200000,8.74,22.42,0.5223,,,,,,,,,,
2016-01-29,1454043600000,8.77,20.2,0.5256,,,,,,,,,,
2016-02-01,1454302800000,8.76,19.98,0.5215,,,,,,,,,,
2016-02-02,1454389200000,8.47,21.98,0.5234,,,,,,,,,,
2016-02-03,1454475600000,8.43,21.65,0.5206,,,,,,,,,,
2016-02-04,1454562000000,8.9,21.84,0.5241,,,,,,,,,,
2016-02-05,1454648400000,8.63,23.38,0.5196,,,,,,,,,,
2016-02-08,1454907600000,8.37,26.0,0.52085,,,,,,,,,,
2016-02-09,1454994000000,8.62,26.54,0.51675,,,,,,,,,,
2016-02-10,1455080400000,8.88,26.29,0.52095,,,,,,,,,,
2016-02-11,1455166800000,8.62,28.14,0.518,,,,,,,,,,
2016-02-12,1455253200000,9.3,25.4,0.51475,,,,,,,,,,
2016-02-16,1455598800000,9.93,24.11,0.5128,,,,,,,,,,
2016-02-17,1455685200000,9.84,22.31,0.51605,,,,,,,,,,
2016-02-18,1455771600000,9.98,21.64,0.5158,,,,,,,,,,
2016-02-19,1455858000000,9.97,20.53,0.51605,51.492099243286816,0.8327532741209112,-0.8327532741209112,-100.0,0.824299295731068,-0.014299295731067476,-1.7347213330305569,,,
2016-02-22,1456117200000,10.38,19.38,0.51675,51.02395637757297,0.8591902257497335,-0.8591902257497335,-100.0,0.8503766573028448,0.3496233426971562,41.113939299094,,,
2016-02-23,1456203600000,9.71,20.98,0.51895,52.68156573023353,0.8296273381195807,-0.8296273381195807,-100.0,0.821347575155662,-0.5113475751556615,-62.257147963059474,,,
2016-02-24,1456290000000,9.89,20.72,0.5172,52.853694139514005,0.8477302052129643,-0.8477302052129643,-100.0,0.8393253818627704,-0.5493253818627695,-65.44844153808566,,,
2016-02-25,1456376400000,10.26,19.11,0.51975,53.38902085242819,0.8882935391657512,-0.8882935391657512,-100.0,0.8795313075096471,-0.009531307509647924,-1.0836802997536708,,,
2016-02-26,1456462800000,10.32,19.81,0.5213,53.41632516061242,0.8939531973617463,-0.8939531973617463,-100.0,0.8851134522800406,-0.025113452280041137,-2.8373144951473983,,,
2016-02-29,1456722000000,10.44,20.55,0.5206,53.4653220757641,0.9051646863976854,-0.9051646863976854,-100.0,0.8962341564500242,-0.5962341564500253,-66.52660492339454,,,
2016-03-01,1456808400000,10.72,17.7,0.521,53.782441233715744,0.9349082417274692,-0.9349082417274692,-100.0,0.9257311529157546,-0.20573115291575395,-22.223639365248452,,,
