Datetime,Timestamp,Price,VIX,3-Month-LIBOR,3-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2015-11-19,1447909200000,13.07,16.99,0.3776,,,,,,,,,,
2015-11-20,1447995600000,12.85,15.47,0.3821,,,,,,,,,,
2015-11-23,1448254800000,12.12,15.62,0.3932,,,,,,,,,,
2015-11-24,1448341200000,12.02,15.93,0.4023,,,,,,,,,,
2015-11-25,1448427600000,11.9,15.19,0.4067,,,,,,,,,,
2015-11-27,1448600400000,12.05,15.12,0.4117,,,,,,,,,,
2015-11-30,1448859600000,12.04,16.13,0.4142,,,,,,,,,,
2015-12-01,1448946000000,11.91,14.67,0.4162,,,,,,,,,,
2015-12-02,1449032400000,11.93,15.91,0.4222,,,,,,,,,,
2015-12-03,1449118800000,11.92,18.11,0.436,,,,,,,,,,
2015-12-04,1449205200000,12.04,14.81,0.452,,,,,,,,,,
2015-12-07,1449464400000,12.36,15.84,0.462,,,,,,,,,,
2015-12-08,1449550800000,12.12,17.6,0.47700000000000004,,,,,,,,,,
2015-12-09,1449637200000,11.99,19.61,0.4865,,,,,,,,,,
2015-12-10,1449723600000,12.05,19.34,0.4920000000000001,,,,,,,,,,
2015-12-11,1449810000000,11.95,24.39,0.502,,,,,,,,,,
2015-12-14,1450069200000,12.33,22.73,0.512,,,,,,,,,,
2015-12-15,1450155600000,12.47,20.95,0.51775,,,,,,,,,,
2015-12-16,1450242000000,12.27,17.86,0.52575,,,,,,,,,,
2015-12-17,1450328400000,12.32,18.94,0.5325,,,,,,,,,,
2015-12-18,1450414800000,12.34,20.7,0.5695,,,,,,,,,,
2015-12-21,1450674000000,12.24,18.7,0.5855,,,,,,,,,,
2015-12-22,1450760400000,12.46,16.6,0.5931,,,,,,,,,,
2015-12-23,1450846800000,12.5,15.57,0.59435,,,,,,,,,,
2015-12-24,1450933200000,12.6,15.74,0.6031,,,,,,,,,,
2015-12-28,1451278800000,12.83,16.91,0.6031,,,,,,,,,,
2015-12-29,1451365200000,12.74,16.08,0.6031,,,,,,,,,,
2015-12-30,1451451600000,12.78,17.29,0.6031,,,,,,,,,,
2015-12-31,1451538000000,13.09,18.21,0.6122,,,,,,,,,,
2016-01-04,1451883600000,12.16,20.7,0.6127,,,,,,,,,,
2016-01-05,1451970000000,11.51,19.34,0.6127,,,,,,,,,,
2016-01-06,1452056400000,11.52,20.59,0.6117,,,,,,,,,,
2016-01-07,1452142800000,11.16,24.99,0.6171,,,,,,,,,,
2016-01-08,1452229200000,11.31,27.01,0.6201,,,,,,,,,,
2016-01-11,1452488400000,11.84,24.3,0.61685,,,,,,,,,,
2016-01-12,1452574800000,12.09,22.47,0.6211,,,,,,,,,,
2016-01-13,1452661200000,11.61,25.22,0.6221,,,,,,,,,,
2016-01-14,1452747600000,10.82,23.95,0.6236,,,,,,,,,,
2016-01-15,1452834000000,10.27,27.02,0.622,,,,,,,,,,
2016-01-19,1453179600000,9.47,26.05,0.6211,,,,,,,,,,
2016-01-20,1453266000000,9.49,27.59,0.6196,,,,,,,,,,
2016-01-21,1453352400000,10.02,26.69,0.6238,,,,,,,,,,
2016-01-22,1453438800000,9.85,22.34,0.6243,,,,,,,,,,
2016-01-25,1453698000000,9.81,24.15,0.6213,,,,,,,,,,
2016-01-26,1453784400000,9.54,22.5,0.6186,,,,,,,,,,
2016-01-27,1453870800000,9.05,23.11,0.6191,,,,,,,,,,
2016-01-28,1453957200000,8.74,22.42,0.6213,,,,,,,,,,
2016-01-29,1454043600000,8.77,20.2,0.6211,,,,,,,,,,
2016-02-01,1454302800000,8.76,19.98,0.6181,,,,,,,,,,
2016-02-02,1454389200000,8.47,21.98,0.6156,,,,,,,,,,
2016-02-03,1454475600000,8.43,21.65,0.6126,,,,,,,,,,
2016-02-04,1454562000000,8.9,21.84,0.6186,,,,,,,,,,
2016-02-05,1454648400000,8.63,23.38,0.6192,,,,,,,,,,
2016-02-08,1454907600000,8.37,26.0,0.6206,,,,,,,,,,
2016-02-09,1454994000000,8.62,26.54,0.6202,,,,,,,,,,
2016-02-10,1455080400000,8.88,26.29,0.6197,,,,,,,,,,
2016-02-11,1455166800000,8.62,28.14,0.621,,,,,,,,,,
2016-02-12,1455253200000,9.3,25.4,0.6176,,,,,,,,,,
2016-02-16,1455598800000,9.93,24.11,0.6172,,,,,,,,,,
2016-02-17,1455685200000,9.84,22.31,0.6182,,,,,,,,,,
2016-02-18,1455771600000,9.98,21.64,0.6182,,,,,,,,,,
2016-02-19,1455858000000,9.97,20.53,0.6182,,,,,,,,,,
2016-02-22,1456117200000,10.38,19.38,0.6194,,,,,,,,,,
2016-02-23,1456203600000,9.71,20.98,0.6182,,,,,,,,,,
2016-02-24,1456290000000,9.89,20.72,0.6182,,,,,,,,,,
2016-02-25,1456376400000,10.26,19.11,0.6246,,,,,,,,,,
2016-02-26,1456462800000,10.32,19.81,0.6291,,,,,,,,,,
2016-02-29,1456722000000,10.44,20.55,0.6346,,,,,,,,,,
2016-03-01,1456808400000,10.72,17.7,0.6356,,,,,,,,,,
2016-03-02,1456894800000,11.97,17.09,0.6351,,,,,,,,,,
2016-03-03,1456981200000,12.25,16.7,0.6331,,,,,,,,,,
2016-03-04,1457067600000,12.01,16.86,0.6316,,,,,,,,,,
2016-03-07,1457326800000,12.26,17.35,0.63485,,,,,,,,,,
2016-03-08,1457413200000,11.48,18.67,0.6356,,,,,,,,,,
2016-03-09,1457499600000,12.03,18.34,0.6335,,,,,,,,,,
2016-03-10,1457586000000,11.3,18.05,0.6361,,,,,,,,,,
2016-03-11,1457672400000,11.1,16.5,0.63515,,,,,,,,,,
2016-03-14,1457928000000,11.61,16.92,0.6346,,,,,,,,,,
2016-03-15,1458014400000,11.95,16.84,0.63235,,,,,,,,,,
2016-03-16,1458100800000,11.87,14.99,0.63385,,,,,,,,,,
2016-03-17,1458187200000,11.95,14.44,0.63955,,,,,,,,,,
2016-03-18,1458273600000,12.04,14.02,0.64195,,,,,,,,,,
2016-03-21,1458532800000,13.4,13.79,0.639,,,,,,,,,,
2016-03-22,1458619200000,13.06,14.17,0.6234,,,,,,,,,,
2016-03-23,1458705600000,12.59,14.94,0.6243,,,,,,,,,,
2016-03-24,1458792000000,12.88,14.74,0.6246,,,,,,,,,,
2016-03-25,1458878400000,13.4,15.24,0.6301,,,,,,,,,,
2016-03-28,1459137600000,13.74,13.82,0.6286,,,,,,,,,,
2016-03-29,1459224000000,15.02,13.56,0.6286,,,,,,,,,,
2016-03-30,1459310400000,15.28,13.95,0.6286,,,,,,,,,,
2016-03-31,1459396800000,14.22,13.1,0.63085,,,,,,,,,,
2016-04-01,1459483200000,14.28,14.12,0.6251,60.320358949698964,1.7097373734680508,-1.7097373734680508,-100.0,1.6877439571046082,1.5222560428953908,90.19472630830099,,,
2016-04-04,1459742400000,14.26,15.42,0.6286,59.472094691250525,1.6837166607001386,-1.6837166607001386,-100.0,1.6616311717580006,1.228368828242,73.92548052299655,,,
2016-04-05,1459828800000,14.97,14.09,0.6291,59.958316620294106,1.7818067843901346,-1.7818067843901346,-100.0,1.758603239748305,1.5513967602516958,88.21755386244682,,,
2016-04-06,1459915200000,14.81,16.16,0.6301,59.962628647705564,1.7629039215195323,-1.7629039215195323,-100.0,1.7399119161942798,1.5900880838057203,91.38899900655487,,,
2016-04-07,1460001600000,15.13,15.36,0.6266,60.02307987131598,1.802727768313713,-1.802727768313713,-100.0,1.7793693460407392,1.7106306539592608,96.1369070320095,,,
2016-04-08,1460088000000,15.36,16.26,0.6306,60.056942122368184,1.8312172478143705,-1.8312172478143705,-100.0,1.8073524792126772,2.1526475207873217,119.10501938863979,,,
2016-04-11,1460347200000,15.48,14.85,0.6288,60.0187370652172,1.8443355226182137,-1.8443355226182137,-100.0,1.820352909669632,1.9096470903303688,104.90532248919482,,,
2016-04-12,1460433600000,15.01,13.84,0.6308,60.283630277447855,1.7961540289377345,-1.7961540289377345,-100.0,1.7728256632022124,1.4371743367977867,81.06687344551709,,,
2016-04-13,1460520000000,14.82,13.72,0.62985,60.33544784266954,1.7749056982300109,-1.7749056982300109,-100.0,1.7519072896921788,1.2480927103078212,71.24193829498356,,,
2016-04-14,1460606400000,14.33,13.62,0.6296,60.62107015890726,1.7242282838252336,-1.7242282838252336,-100.0,1.7019991013636178,0.2380008986363817,13.983608948189149,,,
2016-04-15,1460692800000,14.51,13.35,0.62835,60.50859949041504,1.7426726411552391,-1.7426726411552391,-100.0,1.7202088898794852,0.6297911101205145,36.61131585970565,,,
2016-04-18,1460952000000,14.09,13.24,0.63285,60.62827577346074,1.695599325912997,-1.695599325912997,-100.0,1.673629702191204,0.10637029780879548,6.3556650356724615,,,
2016-04-19,1461038400000,13.63,13.28,0.6331,60.874092256543406,1.6468033727842952,-1.6468033727842952,-100.0,1.6255426082950333,-0.035542608295031634,-2.1865073307620557,,,
2016-04-20,1461124800000,13.24,13.95,0.63435,61.08349103191661,1.6051261198432618,-1.6051261198432618,-100.0,1.5844329526095544,-0.35443295260955393,-22.36970343401432,,,
2016-04-21,1461211200000,13.34,13.22,0.63485,61.072177431154564,1.6169613566230794,-1.6169613566230794,-100.0,1.596095475725086,-0.3260954757250865,-20.43082514076706,,,
2016-04-22,1461297600000,13.59,14.08,0.6351,60.93156949401507,1.6435286528356832,-1.6435286528356832,-100.0,1.6222633678996283,-0.222263367899628,-13.70081900988716,,,
2016-04-25,1461556800000,14.18,13.96,0.6381,61.302275055580864,1.7252134507368266,-1.7252134507368266,-100.0,1.7029202202390892,0.4770797797609108,28.015392270926768,,,
2016-04-26,1461643200000,14.69,13.77,0.63585,61.489181550759014,1.792598845571339,-1.792598845571339,-100.0,1.7695851848233577,0.8704148151766411,49.187505786195146,,,
2016-04-27,1461729600000,15.35,15.22,0.63385,61.8879825093563,1.8850802698340792,-1.8850802698340792,-100.0,1.8611082195298083,1.6588917804701913,89.1346222139245,,,
2016-04-28,1461816000000,14.89,15.7,0.63435,62.131877512675715,1.835701136538132,-1.835701136538132,-100.0,1.8124291380404047,1.147570861959596,63.31672989987061,,,
2016-04-29,1461902400000,14.0,14.68,0.63835,63.01962438533842,1.750344971880219,-1.750344971880219,-100.0,1.7283261136376602,0.4916738863623405,28.44798111205411,,,
2016-05-02,1462161600000,13.45,15.6,0.6366,63.33883230421111,1.6899503680922232,-1.6899503680922232,-100.0,1.6688544829395004,0.5111455170604993,30.628525272028128,,,
2016-05-03,1462248000000,13.39,16.05,0.6366,63.34377263269071,1.6825408875926628,-1.6825408875926628,-100.0,1.661539110477796,0.3984608895222044,23.981433058630923,,,
2016-05-04,1462334400000,13.05,15.91,0.6366,63.485961737121784,1.6434453776462383,-1.6434453776462383,-100.0,1.6229768794125556,0.19702312058744464,12.139613514319324,,,
2016-05-05,1462420800000,10.22,14.72,0.6341,75.47953588737576,1.526058555191768,-0.4660585551917693,-30.54001785227719,1.5100917207907285,-1.5100917207907285,-100.0,,,
2016-05-06,1462507200000,9.85,14.57,0.6318,75.69484091933924,1.4749106610053617,0.055089338994639185,3.7350966706748165,1.4595776567815353,-1.4595776567815353,-100.0,,,
