DATE,USD6MTD156N
2013-08-21,0.39450
2013-08-22,0.39650
2013-08-23,0.39600
2013-08-26,.
2013-08-27,0.39350
2013-08-28,0.39300
2013-08-29,0.39300
2013-08-30,0.39300
2013-09-02,0.39350
2013-09-03,0.39350
2013-09-04,0.39240
2013-09-05,0.39205
2013-09-06,0.39065
2013-09-09,0.38740
2013-09-10,0.38740
2013-09-11,0.38640
2013-09-12,0.38440
2013-09-13,0.38340
2013-09-16,0.37990
2013-09-17,0.37640
2013-09-18,0.37890
2013-09-19,0.37440
2013-09-20,0.37340
2013-09-23,0.37250
2013-09-24,0.36950
2013-09-25,0.36850
2013-09-26,0.36750
2013-09-27,0.36650
2013-09-30,0.36850
2013-10-01,0.36750
2013-10-02,0.36675
2013-10-03,0.36550
2013-10-04,0.36500
2013-10-07,0.36575
2013-10-08,0.36615
2013-10-09,0.36865
2013-10-10,0.36615
2013-10-11,0.36340
2013-10-14,0.36440
2013-10-15,0.36340
2013-10-16,0.36440
2013-10-17,0.35940
2013-10-18,0.35990
2013-10-21,0.35840
2013-10-22,0.35840
2013-10-23,0.35570
2013-10-24,0.35620
2013-10-25,0.35390
2013-10-28,0.35380
2013-10-29,0.35540
2013-10-30,0.35490
2013-10-31,0.35490
2013-11-01,0.35350
2013-11-04,0.35275
2013-11-05,0.35160
2013-11-06,0.35375
2013-11-07,0.35425
2013-11-08,0.35450
2013-11-11,0.35460
2013-11-12,0.35485
2013-11-13,0.35540
2013-11-14,0.35350
2013-11-15,0.35140
2013-11-18,0.35140
2013-11-19,0.35190
2013-11-20,0.34990
2013-11-21,0.34690
2013-11-22,0.34590
2013-11-25,0.34490
2013-11-26,0.34410
2013-11-27,0.34600
2013-11-28,0.34550
2013-11-29,0.34680
2013-12-02,0.34630
2013-12-03,0.34450
2013-12-04,0.34450
2013-12-05,0.34600
2013-12-06,0.34450
2013-12-09,0.34200
2013-12-10,0.34400
2013-12-11,0.34380
2013-12-12,0.34410
2013-12-13,0.34540
2013-12-16,0.34540
2013-12-17,0.34790
2013-12-18,0.34690
2013-12-19,0.34790
2013-12-20,0.35040
2013-12-23,0.34940
2013-12-24,0.34940
2013-12-25,.
2013-12-26,.
2013-12-27,0.34900
2013-12-30,0.34850
2013-12-31,0.34800
2014-01-01,.
2014-01-02,0.34640
2014-01-03,0.34520
2014-01-06,0.34450
2014-01-07,0.34470
2014-01-08,0.34520
2014-01-09,0.34390
2014-01-10,0.34440
2014-01-13,0.33840
2014-01-14,0.33550
2014-01-15,0.33560
2014-01-16,0.33460
2014-01-17,0.33460
2014-01-20,0.33410
2014-01-21,0.33410
2014-01-22,0.33410
2014-01-23,0.33500
2014-01-24,0.33350
2014-01-27,0.3325
2014-01-28,0.332
2014-01-29,0.3335
2014-01-30,0.337
2014-01-31,0.3363
2014-02-03,0.3335
2014-02-04,0.3333
2014-02-05,0.333
2014-02-06,0.3331
2014-02-07,0.3311
2014-02-10,0.3291
2014-02-11,0.332
2014-02-12,0.331
2014-02-13,0.331
2014-02-14,0.329
2014-02-17,0.33
2014-02-18,0.3297
2014-02-19,0.329
2014-02-20,0.3295
2014-02-21,0.3305
2014-02-24,0.3305
2014-02-25,0.3305
2014-02-26,0.3297
2014-02-27,0.33
2014-02-28,0.3305
2014-03-03,0.3305
2014-03-04,0.3315
2014-03-05,0.3311
2014-03-06,0.332
2014-03-07,0.3318
2014-03-10,0.332
2014-03-11,0.331
2014-03-12,0.3305
2014-03-13,0.3318
2014-03-14,0.3328
2014-03-17,0.3339
2014-03-18,0.334
2014-03-19,0.3297
2014-03-20,0.33
2014-03-21,0.3315
2014-03-24,0.3325
2014-03-25,0.3295
2014-03-26,0.3295
2014-03-27,0.329
2014-03-28,0.3289
2014-03-31,0.3289
