Date,Price
8/11/15,0.99
8/12/15,1.29
8/13/15,1.88
8/14/15,1.79
8/15/15,1.79
8/17/15,1.3
8/16/15,1.37
8/18/15,1.36
8/19/15,1.24
8/20/15,1.52
8/21/15,1.44
8/22/15,1.4
8/23/15,1.35
8/24/15,1.24
8/25/15,1.27
8/26/15,1.18
8/27/15,1.14
8/28/15,1.3
8/29/15,1.18
8/30/15,1.32
8/31/15,1.31
9/1/15,1.36
9/2/15,1.14
9/3/15,1.23
9/4/15,1.35
9/5/15,1.37
9/6/15,1.34
9/7/15,1.28
9/8/15,1.26
9/9/15,1.21
9/10/15,1.19
9/11/15,0.92
9/12/15,1.15
9/13/15,0.89
9/14/15,0.96
9/15/15,0.95
9/16/15,0.94
9/17/15,0.88
9/18/15,0.85
9/19/15,0.89
9/20/15,0.89
9/21/15,0.94
9/22/15,0.81
9/23/15,0.91
9/24/15,0.8
9/25/15,0.68
9/26/15,0.77
9/27/15,0.7
9/28/15,0.6
9/29/15,0.68
9/30/15,0.71
10/1/15,0.65
10/2/15,0.66
10/3/15,0.68
10/4/15,0.61
10/5/15,0.61
10/6/15,0.65
10/7/15,0.6
10/8/15,0.62
10/9/15,0.64
10/10/15,0.64
10/11/15,0.6
10/12/15,0.63
10/13/15,0.6
10/14/15,0.5
10/15/15,0.56
10/16/15,0.53
10/17/15,0.52
10/18/15,0.51
10/19/15,0.5
10/20/15,0.44
10/22/15,0.61
10/21/15,0.42
10/23/15,0.56
10/24/15,0.56
10/25/15,0.62
10/26/15,0.71
10/27/15,0.83
10/28/15,0.99
10/29/15,1.12
10/30/15,1.14
10/31/15,0.87
11/1/15,0.99
11/2/15,0.99
11/3/15,1.06
11/4/15,0.8
11/5/15,0.88
11/6/15,0.99
11/7/15,0.93
11/8/15,1
11/9/15,1
11/10/15,0.9
11/11/15,0.75
11/12/15,0.88
11/13/15,0.9
11/14/15,0.88
11/15/15,0.92
11/16/15,0.93
11/17/15,1
11/18/15,1
11/19/15,0.94
11/20/15,0.92
11/21/15,0.96
11/22/15,0.97
11/23/15,0.92
11/24/15,0.91
11/25/15,0.87
11/26/15,0.86
11/27/15,0.88
11/28/15,0.91
11/29/15,0.87
11/30/15,0.88
12/1/15,0.87
12/3/15,0.83
12/2/15,0.82
12/4/15,0.84
12/5/15,0.87
12/6/15,0.83
12/7/15,0.79
12/8/15,0.81
12/9/15,0.81
12/10/15,0.84
12/11/15,0.9
12/12/15,0.96
12/13/15,0.92
12/14/15,0.99
12/15/15,1
12/16/15,0.8
12/17/15,0.94
12/18/15,0.9
12/19/15,0.89
12/20/15,1.07
12/21/15,0.91
12/22/15,0.88
12/23/15,0.87
12/24/15,0.87
12/25/15,0.88
12/26/15,0.85
12/27/15,0.92
12/28/15,0.87
12/29/15,0.86
12/30/15,0.89
12/31/15,0.95
1/1/16,0.92
1/2/16,0.95
1/3/16,0.96
1/4/16,0.95
1/5/16,0.94
1/6/16,0.95
1/7/16,0.94
1/8/16,0.99
1/9/16,0.99
1/10/16,1
1/11/16,1.08
1/12/16,1.22
1/13/16,1.14
1/14/16,1.16
1/15/16,1.2
1/16/16,1.22
1/17/16,1.31
1/18/16,1.47
1/19/16,1.22
1/20/16,1.54
1/21/16,1.54
1/22/16,1.52
1/23/16,2.03
1/24/16,2.1
1/25/16,2.5
1/26/16,2.3
