Date,Price
11/19/2015,13.07
11/20/15,12.85
11/23/15,12.12
11/24/15,12.02
11/25/15,11.9
11/27/15,12.05
11/30/15,12.04
12/1/15,11.91
12/2/15,11.93
12/3/15,11.92
12/4/15,12.04
12/7/15,12.36
12/8/15,12.12
12/9/15,11.99
12/10/15,12.05
12/11/15,11.95
12/14/15,12.33
12/15/15,12.47
12/16/15,12.27
12/17/15,12.32
12/18/15,12.34
12/21/15,12.24
12/22/15,12.46
12/23/15,12.5
12/24/15,12.6
12/28/15,12.83
12/29/15,12.74
12/30/15,12.78
12/31/15,13.09
1/4/16,12.16
1/5/16,11.51
1/6/16,11.52
1/7/16,11.16
1/8/16,11.31
1/11/16,11.84
1/12/16,12.09
1/13/16,11.61
1/14/16,10.82
1/15/16,10.27
1/19/16,9.47
1/20/16,9.49
1/21/16,10.02
1/22/16,9.85
1/25/16,9.81
1/26/16,9.54
1/27/16,9.05
1/28/16,8.74
1/29/16,8.77
2/1/16,8.76
2/2/16,8.47
2/3/16,8.43
2/4/16,8.9
2/5/16,8.63
2/8/16,8.37
2/9/16,8.62
2/10/16,8.88
2/11/16,8.62
2/12/16,9.3
2/16/16,9.93
2/17/16,9.84
2/18/16,9.98
2/19/16,9.97
2/22/16,10.38
2/23/16,9.71
2/24/16,9.89
2/25/16,10.26
2/26/16,10.32
2/29/16,10.44
3/1/16,10.72
3/2/16,11.97
3/3/16,12.25
3/4/16,12.01
3/7/16,12.26
3/8/16,11.48
3/9/16,12.03
3/10/16,11.3
3/11/16,11.1
3/14/16,11.61
3/15/16,11.95
3/16/16,11.87
3/17/16,11.95
3/18/16,12.04
3/21/16,13.4
3/22/16,13.06
3/23/16,12.59
3/24/16,12.88
3/28/16,13.4
3/29/16,13.74
3/30/16,15.02
3/31/16,15.28
4/1/16,14.22
4/4/16,14.28
4/5/16,14.26
4/6/16,14.97
4/7/16,14.81
4/8/16,15.13
4/11/16,15.36
4/12/16,15.48
4/13/16,15.01
4/14/16,14.82
4/15/16,14.33
4/18/16,14.51
4/19/16,14.09
4/20/16,13.63
4/21/16,13.24
4/22/16,13.34
4/25/16,13.59
4/26/16,14.18
4/27/16,14.69
4/28/16,15.35
4/29/16,14.89
5/2/16,14
5/3/16,13.45
5/4/16,13.39
5/5/16,13.05
5/6/16,10.22
5/9/16,9.85
5/10/16,10
5/11/16,9.68
5/12/16,9.28
5/13/16,9.36
5/16/16,9.16
5/17/16,9.18
5/18/16,9.4
5/19/16,9.6
5/20/16,9.39
5/23/16,9.46
5/24/16,10.14
5/25/16,10
5/26/16,9.75
5/27/16,9.63
