Date,Price
6/29/2010,23.889999
6/30/10,23.83
7/1/10,21.959999
7/2/10,19.200001
7/6/10,16.110001
7/7/10,15.8
7/8/10,17.459999
7/9/10,17.4
7/12/10,17.049999
7/13/10,18.139999
7/14/10,19.84
7/15/10,19.889999
7/16/10,20.639999
7/19/10,21.91
7/20/10,20.299999
7/21/10,20.219999
7/22/10,21
7/23/10,21.290001
7/26/10,20.950001
7/27/10,20.549999
7/28/10,20.719999
7/29/10,20.35
7/30/10,19.940001
8/2/10,20.92
8/3/10,21.950001
8/4/10,21.26
8/5/10,20.450001
8/6/10,19.59
8/9/10,19.6
8/10/10,19.030001
8/11/10,17.9
8/12/10,17.6
8/13/10,18.32
8/16/10,18.780001
8/17/10,19.15
8/18/10,18.77
8/19/10,18.790001
8/20/10,19.1
8/23/10,20.129999
8/24/10,19.200001
8/25/10,19.9
8/26/10,19.75
8/27/10,19.700001
8/30/10,19.870001
8/31/10,19.48
9/1/2010,20.450001
