Datetime,1-Day-LIBOR,7-Day-LIBOR,1-Month-LIBOR,2-Month-LIBOR,3-Month-LIBOR,6-Month-LIBOR,1-Year-LIBOR,2-Day-LIBOR,3-Day-LIBOR,4-Day-LIBOR,5-Day-LIBOR,6-Day-LIBOR,8-Day-LIBOR,9-Day-LIBOR,10-Day-LIBOR,11-Day-LIBOR,12-Day-LIBOR,13-Day-LIBOR,14-Day-LIBOR,4-Month-LIBOR,5-Month-LIBOR,7-Month-LIBOR,8-Month-LIBOR,9-Month-LIBOR,10-Month-LIBOR,11-Month-LIBOR
1986-01-02,,,8.125,,8.0,8.0,8.0625,,,,,,,,,,,,,8.0,8.0,8.010135135,8.02027027,8.030405405,8.040540541,8.050675676000001
1986-01-03,,,8.125,,8.0625,8.0625,8.125,,,,,,,,,,,,,8.0625,8.0625,8.072635135,8.08277027,8.092905405,8.103040541,8.113175676000001
1986-01-06,,,8.1875,,8.125,8.125,8.125,,,,,,,,,,,,,8.125,8.125,8.125,8.125,8.125,8.125,8.125
1986-01-07,,,8.125,,8.125,8.125,8.125,,,,,,,,,,,,,8.125,8.125,8.125,8.125,8.125,8.125,8.125
1986-01-08,,,8.0,,8.0,8.0,8.0625,,,,,,,,,,,,,8.0,8.0,8.010135135,8.02027027,8.030405405,8.040540541,8.050675676000001
1986-01-09,,,8.1875,,8.1875,8.1875,8.3125,,,,,,,,,,,,,8.1875,8.1875,8.20777027,8.228040541,8.248310811,8.268581081,8.288851351
1986-01-10,,,8.25,,8.25,8.25,8.375,,,,,,,,,,,,,8.25,8.25,8.27027027,8.290540541,8.310810811,8.331081081,8.351351351
1986-01-13,,,8.3125,,8.375,8.375,8.5625,,,,,,,,,,,,,8.375,8.375,8.405405405,8.435810811,8.466216216,8.496621622000001,8.527027027
1986-01-14,,,8.375,,8.375,8.375,8.625,,,,,,,,,,,,,8.375,8.375,8.415540541,8.456081081,8.496621622000001,8.537162162000001,8.577702703
1986-01-15,,,8.25,,8.25,8.25,8.5,,,,,,,,,,,,,8.25,8.25,8.290540541,8.331081081,8.371621622000001,8.412162162000001,8.452702703
1986-01-16,,,8.1875,,8.1875,8.1875,8.375,,,,,,,,,,,,,8.1875,8.1875,8.217905405,8.248310811,8.278716216,8.309121622000001,8.339527027
1986-01-17,,,8.1875,,8.1875,8.1875,8.3125,,,,,,,,,,,,,8.1875,8.1875,8.20777027,8.228040541,8.248310811,8.268581081,8.288851351
1986-01-20,,,8.25,,8.25,8.25,8.5,,,,,,,,,,,,,8.25,8.25,8.290540541,8.331081081,8.371621622000001,8.412162162000001,8.452702703
1986-01-21,,,8.1875,,8.1875,8.1875,8.375,,,,,,,,,,,,,8.1875,8.1875,8.217905405,8.248310811,8.278716216,8.309121622000001,8.339527027
1986-01-22,,,8.1875,,8.1875,8.1875,8.375,,,,,,,,,,,,,8.1875,8.1875,8.217905405,8.248310811,8.278716216,8.309121622000001,8.339527027
1986-01-23,,,8.1875,,8.1875,8.25,8.4375,,,,,,,,,,,,,8.208333332999999,8.229166667000001,8.280405405,8.310810811,8.341216216,8.371621622000001,8.402027027
1986-01-24,,,8.1875,,8.1875,8.1875,8.375,,,,,,,,,,,,,8.1875,8.1875,8.217905405,8.248310811,8.278716216,8.309121622000001,8.339527027
1986-01-27,,,8.125,,8.125,8.125,8.3125,,,,,,,,,,,,,8.125,8.125,8.155405405,8.185810811,8.216216216,8.246621622000001,8.277027027
1986-01-28,,,8.0625,,8.0625,8.125,8.25,,,,,,,,,,,,,8.083333332999999,8.104166667000001,8.14527027,8.165540541,8.185810811,8.206081081,8.226351351
1986-01-29,,,8.0625,,8.0625,8.0625,8.25,,,,,,,,,,,,,8.0625,8.0625,8.092905405,8.123310811,8.153716216,8.184121622000001,8.214527027
1986-01-30,,,8.0625,,8.0625,8.125,8.25,,,,,,,,,,,,,8.083333332999999,8.104166667000001,8.14527027,8.165540541,8.185810811,8.206081081,8.226351351
1986-01-31,,,8.0625,,8.0625,8.125,8.25,,,,,,,,,,,,,8.083333332999999,8.104166667000001,8.14527027,8.165540541,8.185810811,8.206081081,8.226351351
1986-02-03,,,8.0625,,8.0625,8.0625,8.25,,,,,,,,,,,,,8.0625,8.0625,8.092905405,8.123310811,8.153716216,8.184121622000001,8.214527027
1986-02-04,,,8.0313,,8.0625,8.0625,8.2188,,,,,,,,,,,,,8.0625,8.0625,8.087845946,8.113191892,8.138537838,8.163883784,8.18922973
1986-02-05,,,8.0,,8.0,8.0,8.1825,,,,,,,,,,,,,8.0,8.0,8.029594595,8.059189189,8.088783784,8.118378378,8.147972973
1986-02-06,,,8.0,,8.0,8.031,8.1825,,,,,,,,,,,,,8.010333333,8.020666667,8.055567567999999,8.080135135,8.104702703,8.12927027,8.153837838
1986-02-07,,,8.0,,8.0625,8.0625,8.25,,,,,,,,,,,,,8.0625,8.0625,8.092905405,8.123310811,8.153716216,8.184121622000001,8.214527027
1986-02-10,,,8.0625,,8.125,8.125,8.3125,,,,,,,,,,,,,8.125,8.125,8.155405405,8.185810811,8.216216216,8.246621622000001,8.277027027
1986-02-11,,,8.0313,,8.0625,8.125,8.3125,,,,,,,,,,,,,8.083333332999999,8.104166667000001,8.155405405,8.185810811,8.216216216,8.246621622000001,8.277027027
1986-02-12,,,8.0625,,8.0625,8.125,8.2813,,,,,,,,,,,,,8.083333332999999,8.104166667000001,8.150345946,8.175691892,8.201037838,8.226383784,8.25172973
1986-02-13,,,8.0625,,8.0625,8.125,8.25,,,,,,,,,,,,,8.083333332999999,8.104166667000001,8.14527027,8.165540541,8.185810811,8.206081081,8.226351351
1986-02-14,,,8.0,,8.0625,8.0625,8.25,,,,,,,,,,,,,8.0625,8.0625,8.092905405,8.123310811,8.153716216,8.184121622000001,8.214527027
1986-02-17,,,8.0,,8.0,8.0,8.125,,,,,,,,,,,,,8.0,8.0,8.02027027,8.040540541,8.060810811,8.081081081,8.101351351
1986-02-18,,,8.0,,8.0,8.0,8.0938,,,,,,,,,,,,,8.0,8.0,8.015210811000001,8.030421622,8.045632432,8.060843242999999,8.076054054
1986-02-19,,,8.0,,8.0,8.0,8.125,,,,,,,,,,,,,8.0,8.0,8.02027027,8.040540541,8.060810811,8.081081081,8.101351351
1986-02-20,,,8.0,,8.0,8.0,8.125,,,,,,,,,,,,,8.0,8.0,8.02027027,8.040540541,8.060810811,8.081081081,8.101351351
1986-02-21,,,8.0,,8.0,8.0,8.125,,,,,,,,,,,,,8.0,8.0,8.02027027,8.040540541,8.060810811,8.081081081,8.101351351
1986-02-24,,,8.0,,8.0,8.0,8.125,,,,,,,,,,,,,8.0,8.0,8.02027027,8.040540541,8.060810811,8.081081081,8.101351351
1986-02-25,,,7.9375,,7.9375,7.968999999999999,8.0625,,,,,,,,,,,,,7.9479999999999995,7.9585,7.9841621620000005,7.999324324,8.014486486000001,8.029648649,8.044810811
1986-02-26,,,8.0,,8.0,8.0,8.0625,,,,,,,,,,,,,8.0,8.0,8.010135135,8.02027027,8.030405405,8.040540541,8.050675676000001
1986-02-27,,,7.9688,,7.9375,7.9375,8,,,,,,,,,,,,,7.9375,7.9375,7.947635135,7.95777027,7.967905405,7.978040541,7.988175676
1986-02-28,,,7.9375,,7.875,7.875,7.9375,,,,,,,,,,,,,7.875,7.875,7.885135135,7.89527027,7.905405405,7.915540541,7.925675676
1986-03-03,,,7.9375,,7.875,7.875,7.9375,,,,,,,,,,,,,7.875,7.875,7.885135135,7.89527027,7.905405405,7.915540541,7.925675676
1986-03-04,,,7.9063,,7.75,7.75,7.8125,,,,,,,,,,,,,7.75,7.75,7.760135135,7.77027027,7.780405405,7.790540541,7.800675676
1986-03-05,,,7.8125,,7.6875,7.6875,7.75,,,,,,,,,,,,,7.6875,7.6875,7.697635135,7.70777027,7.717905405,7.728040541,7.738175676
1986-03-06,,,7.8125,,7.6875,7.6875,7.75,,,,,,,,,,,,,7.6875,7.6875,7.697635135,7.70777027,7.717905405,7.728040541,7.738175676
1986-03-07,,,7.6563,,7.5625,7.5625,7.6875,,,,,,,,,,,,,7.5625,7.5625,7.58277027,7.603040541,7.6233108110000005,7.643581081000001,7.663851351
1986-03-10,,,7.5625,,7.5625,7.5625,7.625,,,,,,,,,,,,,7.5625,7.5625,7.572635135,7.58277027,7.592905405,7.603040541,7.613175676
1986-03-11,,,7.5,,7.5,7.5,7.5,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5
1986-03-12,,,7.5,,7.4375,7.4375,7.4375,,,,,,,,,,,,,7.4375,7.4375,7.4375,7.4375,7.4375,7.4375,7.4375
1986-03-13,,,7.5625,,7.5,7.4375,7.5,,,,,,,,,,,,,7.479166667,7.458333333,7.447635135,7.45777027,7.467905405,7.478040541,7.488175676
1986-03-14,,,7.5625,,7.5,7.5,7.5,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5
1986-03-17,,,7.5625,,7.5,7.5,7.5,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5
1986-03-18,,,7.625,,7.5,7.4688,7.5,,,,,,,,,,,,,7.4896,7.4792,7.473859459,7.478918919,7.483978378,7.489037838,7.494097297000001
1986-03-19,,,7.6875,,7.5625,7.5,7.5,,,,,,,,,,,,,7.541666667,7.520833333,7.5,7.5,7.5,7.5,7.5
