,Unnamed: 0,Date,Price,1-Month,1-Month-Vol-Mean,1-Month-Vol-No-Mean,1-Month,90%-Spot-Vol-Mean-B-S-Call,90%-Spot-Vol-Mean-B-S-Put,90%-Spot-Vol-No-Mean-B-S-Call,90%-Spot-Vol-No-Mean-B-S-Put,95%-Spot-Vol-Mean-B-S-Call,95%-Spot-Vol-Mean-B-S-Put,95%-Spot-Vol-No-Mean-B-S-Call,95%-Spot-Vol-No-Mean-B-S-Put,100%-Spot-Vol-Mean-B-S-Call,100%-Spot-Vol-Mean-B-S-Put,100%-Spot-Vol-No-Mean-B-S-Call,100%-Spot-Vol-No-Mean-B-S-Put,105%-Spot-Vol-Mean-B-S-Call,105%-Spot-Vol-Mean-B-S-Put,105%-Spot-Vol-No-Mean-B-S-Call,105%-Spot-Vol-No-Mean-B-S-Put,110%-Spot-Vol-Mean-B-S-Call,110%-Spot-Vol-Mean-B-S-Put,110%-Spot-Vol-No-Mean-B-S-Call,110%-Spot-Vol-No-Mean-B-S-Put
0,0,1/1/18,13412.44,1.56425,,,,,,,,,,,,,,,,,,,,,,,
1,1,1/2/18,14740.7563,1.56175,,,,,,,,,,,,,,,,,,,,,,,
2,2,1/3/18,15134.6513,1.5568799999999998,,,,,,,,,,,,,,,,,,,,,,,
3,3,1/4/18,15155.2263,1.555,,,,,,,,,,,,,,,,,,,,,,,
4,4,1/5/18,16937.1738,1.5525,,,,,,,,,,,,,,,,,,,,,,,
5,5,1/6/18,17135.8363,1.55375,,,,,,,,,,,,,,,,,,,,,,,
6,6,1/7/18,16178.495,1.55375,,,,,,,,,,,,,,,,,,,,,,,
7,7,1/8/18,14970.3575,1.55375,,,,,,,,,,,,,,,,,,,,,,,
8,8,1/9/18,14439.4738,1.55945,,,,,,,,,,,,,,,,,,,,,,,
9,9,1/10/18,14890.7225,1.55947,,,,,,,,,,,,,,,,,,,,,,,
10,10,1/11/18,13287.26,1.55614,,,,,,,,,,,,,,,,,,,,,,,
11,11,1/12/18,13812.715,1.55613,,,,,,,,,,,,,,,,,,,,,,,
12,12,1/13/18,14188.785,1.5575,,,,,,,,,,,,,,,,,,,,,,,
13,13,1/14/18,13619.0288,1.56118,,,,,,,,,,,,,,,,,,,,,,,
14,14,1/15/18,13585.9013,1.56128,,,,,,,,,,,,,,,,,,,,,,,
15,15,1/16/18,11348.02,1.56014,,,,,,,,,,,,,,,,,,,,,,,
16,16,1/17/18,11141.2488,1.56135,,,,,,,,,,,,,,,,,,,,,,,
17,17,1/18/18,11250.6475,1.56137,,,,,,,,,,,,,,,,,,,,,,,
18,18,1/19/18,11514.925,1.56693,,,,,,,,,,,,,,,,,,,,,,,
19,19,1/20/18,12759.6413,1.56777,,,,,,,,,,,,,,,,,,,,,,,
20,20,1/21/18,11522.8588,1.57345,,,,,,,,,,,,,,,,,,,,,,,
21,21,1/22/18,10772.15,1.5747,,,,,,,,,,,,,,,,,,,,,,,
22,22,1/23/18,10839.8263,1.5797,,,,,,,,,,,,,,,,,,,,,,,
23,23,1/24/18,11399.52,1.57946,,,,,,,,,,,,,,,,,,,,,,,
24,24,1/25/18,11137.2375,1.57957,,,,,,,,,,,,,,,,,,,,,,,
25,25,1/26/18,11090.0638,1.58007,,,,,,,,,,,,,,,,,,,,,,,
26,26,1/27/18,11407.1538,1.57926,,,,,,,,,,,,,,,,,,,,,,,
27,27,1/28/18,11694.4675,1.57932,,,,,,,,,,,,,,,,,,,,,,,
28,28,1/29/18,11158.3938,1.58077,,,,,,,,,,,,,,,,,,,,,,,
29,29,1/30/18,10034.9975,1.5832,,,,,,,,,,,,,,,,,,,,,,,
30,30,1/31/18,10166.5063,1.5875,1.25193083167485,0.0,,,,,,,,,,,,,,,,,,,,,
31,31,2/1/18,9052.5763,1.5875,1.2544877567496169,0.0,,,,,,,,,,,,,,,,,,,,,
32,32,2/2/18,8827.63,1.5881299999999998,1.2503919690937897,0.4117083695654493,,,,,,,,,,,,,,,,,,,,,
33,33,2/3/18,9224.3913,1.59,1.2411686764083,0.4212753923560307,8301.95217,9224.3913,1.4129435116282306e-21,9224.3913,2.609552543802053e-103,9224.3913,1.539168768982255e-21,9224.3913,4.3651674333975985e-103,9224.3913,1.6692340536090063e-21,9224.3913,7.108091527128746e-103,9224.3913,1.8030483601459e-21,9224.3913,1.1297264729782735e-102,9224.3913,1.940526937624019e-21,9224.3913,1.7565117625276563e-102
34,34,2/4/18,8186.6488,1.59375,1.2582986168721275,0.4492223187012019,7367.98392,8186.6488,1.8443438271671033e-21,8186.6488,1.7084672152017526e-92,8186.6488,2.006367973974637e-21,8186.6488,2.6981935856725252e-92,8186.6488,2.1731012474789845e-21,8186.6488,4.160680625073913e-92,8186.6488,2.3444260171262273e-21,8186.6488,6.279173831180739e-92,8186.6488,2.520232896412282e-21,8186.6488,9.293214444576884e-92
35,35,2/5/18,6914.26,1.59563,1.2201342792434724,0.6173116239578113,6222.834000000001,6914.26,3.8794900997616753e-22,6914.26,8.153509241900316e-54,6914.26,4.2349741555715497e-22,6914.26,1.0532815126986336e-53,6914.26,4.602020688682607e-22,6914.26,1.342572031456498e-53,6914.26,4.980378705018028e-22,6914.26,1.6908133976380251e-53,6914.26,5.369813923867047e-22,6914.26,2.106251122408965e-53
36,36,2/6/18,7700.3863,1.59563,1.3123671248266962,0.8603501966147633,6930.34767,7700.3863,7.878076408594714e-21,7700.3863,1.0623758529128374e-32,7700.3863,8.533805345739587e-21,7700.3863,1.2294767097869445e-32,7700.3863,9.205826399261394e-21,7700.3863,1.4120684616692893e-32,7700.3863,9.893667343581323e-21,7700.3863,1.610681991576338e-32,7700.3863,1.0596891005293719e-20,7700.3863,1.8258373220049266e-32
37,37,2/7/18,7581.8038,1.60251,1.3931974844599415,0.9413562788403508,6823.62342,7581.8038,4.072762840391635e-20,7581.8038,2.5254215031349405e-29,7581.8038,4.388408131026519e-20,7581.8038,2.86826410942037e-29,7581.8038,4.7102440979758945e-20,7581.8038,3.236122578571132e-29,7581.8038,5.038060245137098e-20,7581.8038,3.629397175182193e-29,7581.8038,5.371662764374028e-20,7581.8038,4.0484721888987574e-29
38,38,2/8/18,8237.2363,1.6207,1.3803189466518495,0.9429650243274699,7413.512670000001,8237.2363,1.5566641069428792e-20,8237.2363,8.735988485069846e-30,8237.2363,1.6794546984187198e-20,8237.2363,9.929352576518492e-30,8237.2363,1.8048088631549185e-20,8237.2363,1.1210729998613739e-29,8237.2363,1.932642619355279e-20,8237.2363,1.2581594573438718e-29,8237.2363,2.0628785404049034e-20,8237.2363,1.4043362725993933e-29
39,39,2/9/18,8689.8388,1.6312,1.4273742307675927,0.9877799865346716,7820.85492,8689.8388,2.9152928224922627e-20,8689.8388,1.996990455037591e-28,8689.8388,3.137010365831703e-20,8689.8388,2.2513333365338014e-28,8689.8388,3.3627855908054776e-20,8689.8388,2.52228114931773e-28,8689.8388,3.592475498671778e-20,8689.8388,2.809981697796449e-28,8689.8388,3.825948606021061e-20,8689.8388,3.1145753782211065e-28
40,40,2/10/18,8556.6125,1.648,1.4394345804691118,1.0058429478758686,7700.951249999999,8556.6125,1.8456888325801853e-20,8556.6125,2.640321364636268e-28,8556.6125,1.9854669765910715e-20,8556.6125,2.9696455650206863e-28,8556.6125,2.1277630346366512e-20,8556.6125,3.3196772813614644e-28,8556.6125,2.272487615798939e-20,8556.6125,3.690554866749649e-28,8556.6125,2.4195585515489722e-20,8556.6125,4.082409085595337e-28
41,41,2/11/18,8070.7963,1.66418,1.3971527525333023,1.007335296699573,7263.71667,8070.7963,3.596721690463529e-21,8070.7963,9.691783524457361e-29,8070.7963,3.880563526868346e-21,8070.7963,1.0906925506809312e-28,8070.7963,4.170344817093452e-21,8070.7963,1.219920789514222e-28,8070.7963,4.4658715437071174e-21,8070.7963,1.3569190406469274e-28,8070.7963,4.766964821333528e-21,8070.7963,1.5017402908934876e-28
42,42,2/12/18,8891.2125,1.6700700000000002,1.3914857306558606,1.028458662984585,8002.0912499999995,8891.2125,2.702944524526536e-21,8891.2125,3.558607651586611e-28,8891.2125,2.917756271668555e-21,8891.2125,3.9915657992409283e-28,8891.2125,3.1371725819678365e-21,8891.2125,4.450536248604271e-28,8891.2125,3.3610453318136135e-21,8891.2125,4.935625669168183e-28,8891.2125,3.589237877406421e-21,8891.2125,5.446933906397294e-28
