Date,Price
7/30/2008,22.84
7/31/08,22.7071
8/1/08,22.38
8/4/08,21.89
8/5/08,22.9486
8/6/08,23.4557
8/7/08,23.3671
8/8/08,24.2214
8/11/08,24.7943
8/12/08,25.2471
8/13/08,25.6143
8/14/08,25.6171
8/15/08,25.1057
8/18/08,25.0557
8/19/08,24.79
8/20/08,25.12
8/21/08,24.8986
8/22/08,25.2557
8/25/08,24.65
8/26/08,24.8057
8/27/08,24.9528
8/28/08,24.82
8/29/08,24.2186
9/2/08,23.7414
9/3/08,23.8514
9/4/08,23.0314
9/5/08,22.8829
9/8/08,22.56
9/9/08,21.6686
9/10/08,21.6586
9/11/08,21.8071
9/12/08,21.2771
9/15/08,20.0514
9/16/08,19.9829
9/17/08,18.2614
9/18/08,19.1557
9/19/08,20.13
9/22/08,18.7214
9/23/08,18.12
9/24/08,18.3871
9/25/08,18.8471
9/26/08,18.32
9/29/08,15.0371
9/30/08,16.2371
10/1/08,15.5886
10/2/08,14.3
10/3/08,13.8671
10/6/08,14.02
10/7/08,12.7371
10/8/08,12.8271
10/9/08,12.6771
10/10/08,13.8286
10/13/08,15.7514
10/14/08,14.8686
10/15/08,13.9929
10/16/08,14.5557
10/17/08,13.9143
10/20/08,14.0629
10/21/08,13.07
10/22/08,13.8386
10/23/08,14.0329
10/24/08,13.7686
10/27/08,13.1557
10/28/08,14.2729
10/29/08,14.9357
10/30/08,15.8629
10/31/08,15.37
11/3/08,15.28
11/4/08,15.8557
11/5/08,14.7571
11/6/08,14.1571
11/7/08,14.0343
11/10/08,13.6971
11/11/08,13.5386
11/12/08,12.8743
11/13/08,13.7771
11/14/08,12.8914
11/17/08,12.5914
11/18/08,12.8443
11/19/08,12.3271
11/20/08,11.4986
11/21/08,11.7971
11/24/08,13.2786
11/25/08,12.9714
11/26/08,13.5714
11/28/08,13.2386
12/1/08,12.7043
12/2/08,13.21
12/3/08,13.7
12/4/08,13.0586
12/5/08,13.4286
12/8/08,14.2457
12/9/08,14.2943
12/10/08,14.03
12/11/08,13.5714
12/12/08,14.0386
12/15/08,13.5357
12/16/08,13.6329
12/17/08,12.7371
12/18/08,12.7757
12/19/08,12.8571
12/22/08,12.2486
12/23/08,12.34
12/24/08,12.1486
12/26/08,12.2586
12/29/08,12.3729
12/30/08,12.3271
12/31/08,12.1929
1/2/09,12.9643
1/5/09,13.5114
1/6/09,13.2886
1/7/09,13.0014
1/8/09,13.2429
1/9/09,12.94
1/12/09,12.6657
1/13/09,12.53
1/14/09,12.19
1/15/09,11.9114
1/16/09,11.7614
1/20/09,11.1714
1/21/09,11.8329
1/22/09,12.6229
1/23/09,12.6229
1/26/09,12.8057
1/27/09,12.9614
1/28/09,13.4571
1/29/09,13.2857
1/30/09,12.8757
2/2/09,13.0729
2/3/09,13.2829
2/4/09,13.3643
2/5/09,13.78
2/6/09,14.2457
2/9/09,14.6443
2/10/09,13.9757
2/11/09,13.8314
2/12/09,14.1814
2/13/09,14.1657
2/17/09,13.5043
2/18/09,13.4814
2/19/09,12.9486
2/20/09,13.0286
