Datetime,Timestamp,Price,VIX,10-Month-LIBOR,10-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2015-11-19,1447909200000,13.07,16.99,0.825544595,,,,,,,,,,
2015-11-20,1447995600000,12.85,15.47,0.831860811,,,,,,,,,,
2015-11-23,1448254800000,12.12,15.62,0.8460364859999999,,,,,,,,,,
2015-11-24,1448341200000,12.02,15.93,0.8521121620000001,,,,,,,,,,
2015-11-25,1448427600000,11.9,15.19,0.859266216,,,,,,,,,,
2015-11-27,1448600400000,12.05,15.12,0.864218919,,,,,,,,,,
2015-11-30,1448859600000,12.04,16.13,0.861435135,,,,,,,,,,
2015-12-01,1448946000000,11.91,14.67,0.867921622,,,,,,,,,,
2015-12-02,1449032400000,11.93,15.91,0.871583784,,,,,,,,,,
2015-12-03,1449118800000,11.92,18.11,0.877114865,,,,,,,,,,
2015-12-04,1449205200000,12.04,14.81,0.896466216,,,,,,,,,,
2015-12-07,1449464400000,12.36,15.84,0.903405405,,,,,,,,,,
2015-12-08,1449550800000,12.12,17.6,0.924939189,,,,,,,,,,
2015-12-09,1449637200000,11.99,19.61,0.9311824320000001,,,,,,,,,,
2015-12-10,1449723600000,12.05,19.34,0.939033784,,,,,,,,,,
2015-12-11,1449810000000,11.95,24.39,0.9426891890000001,,,,,,,,,,
2015-12-14,1450069200000,12.33,22.73,0.95422973,,,,,,,,,,
2015-12-15,1450155600000,12.47,20.95,0.9533108109999999,,,,,,,,,,
2015-12-16,1450242000000,12.27,17.86,0.961594595,,,,,,,,,,
2015-12-17,1450328400000,12.32,18.94,0.973316216,,,,,,,,,,
2015-12-18,1450414800000,12.34,20.7,0.998675676,,,,,,,,,,
2015-12-21,1450674000000,12.24,18.7,1.006297297,,,,,,,,,,
2015-12-22,1450760400000,12.46,16.6,1.015337838,,,,,,,,,,
2015-12-23,1450846800000,12.5,15.57,1.021554054,,,,,,,,,,
2015-12-24,1450933200000,12.6,15.74,1.0327972970000001,,,,,,,,,,
2015-12-28,1451278800000,12.83,16.91,1.034997297,,,,,,,,,,
2015-12-29,1451365200000,12.74,16.08,1.034997297,,,,,,,,,,
2015-12-30,1451451600000,12.78,17.29,1.034997297,,,,,,,,,,
2015-12-31,1451538000000,13.09,18.21,1.058681081,,,,,,,,,,
2016-01-04,1451883600000,12.16,20.7,1.061404054,,,,,,,,,,
2016-01-05,1451970000000,11.51,19.34,1.061404054,,,,,,,,,,
2016-01-06,1452056400000,11.52,20.59,1.054358108,,,,,,,,,,
2016-01-07,1452142800000,11.16,24.99,1.06,,,,,,,,,,
2016-01-08,1452229200000,11.31,27.01,1.055008108,,,,,,,,,,
2016-01-11,1452488400000,11.84,24.3,1.040886486,,,,,,,,,,
