Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Calls.1,110-Calls-P.1,110-Calls-ROI.1,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2015-11-19,1447909200000,13.07,16.99,0.61175,,,,,,,,,,,,,,,,,,,
2015-11-20,1447995600000,12.85,15.47,0.61865,,,,,,,,,,,,,,,,,,,
2015-11-23,1448254800000,12.12,15.62,0.63315,,,,,,,,,,,,,,,,,,,
2015-11-24,1448341200000,12.02,15.93,0.64075,,,,,,,,,,,,,,,,,,,
2015-11-25,1448427600000,11.9,15.19,0.64865,,,,,,,,,,,,,,,,,,,
2015-11-27,1448600400000,12.05,15.12,0.6549,,,,,,,,,,,,,,,,,,,
2015-11-30,1448859600000,12.04,16.13,0.6539,,,,,,,,,,,,,,,,,,,
2015-12-01,1448946000000,11.91,14.67,0.6599,,,,,,,,,,,,,,,,,,,
2015-12-02,1449032400000,11.93,15.91,0.6634,,,,,,,,,,,,,,,,,,,
2015-12-03,1449118800000,11.92,18.11,0.66945,,,,,,,,,,,,,,,,,,,
2015-12-04,1449205200000,12.04,14.81,0.68465,,,,,,,,,,,,,,,,,,,
2015-12-07,1449464400000,12.36,15.84,0.6924,,,,,,,,,,,,,,,,,,,
2015-12-08,1449550800000,12.12,17.6,0.71215,,,,,,,,,,,,,,,,,,,
2015-12-09,1449637200000,11.99,19.61,0.72115,,,,,,,,,,,,,,,,,,,
2015-12-10,1449723600000,12.05,19.34,0.72965,,,,,,,,,,,,,,,,,,,
2015-12-11,1449810000000,11.95,24.39,0.7359,,,,,,,,,,,,,,,,,,,
2015-12-14,1450069200000,12.33,22.73,0.7465,,,,,,,,,,,,,,,,,,,
2015-12-15,1450155600000,12.47,20.95,0.7485,,,,,,,,,,,,,,,,,,,
2015-12-16,1450242000000,12.27,17.86,0.755,,,,,,,,,,,,,,,,,,,
2015-12-17,1450328400000,12.32,18.94,0.7699,,,,,,,,,,,,,,,,,,,
