Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,108-Calls,108-Calls-P,108-Calls-ROI,108-Puts,108-Puts-P,108-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,111-Calls,111-Calls-P,111-Calls-ROI,111-Puts,111-Puts-P,111-Puts-ROI,108-Strangles,108-Strangles-P,108-Strangles-ROI
2008-07-30,1217390400000,22.84,21.21,3.2525,,,,,,,,,,,,,,,,,,,,,,
2008-07-31,1217476800000,22.7071,22.94,3.2225,,,,,,,,,,,,,,,,,,,,,,
2008-08-01,1217563200000,22.38,22.57,3.24188,,,,,,,,,,,,,,,,,,,,,,
2008-08-04,1217822400000,21.89,23.49,3.28125,,,,,,,,,,,,,,,,,,,,,,
2008-08-05,1217908800000,22.9486,21.14,3.26688,,,,,,,,,,,,,,,,,,,,,,
2008-08-06,1217995200000,23.4557,20.23,3.27625,,,,,,,,,,,,,,,,,,,,,,
2008-08-07,1218081600000,23.3671,21.15,3.23063,,,,,,,,,,,,,,,,,,,,,,
2008-08-08,1218168000000,24.2214,20.66,3.24063,,,,,,,,,,,,,,,,,,,,,,
2008-08-11,1218427200000,24.7943,20.12,3.27063,,,,,,,,,,,,,,,,,,,,,,
2008-08-12,1218513600000,25.2471,21.17,3.21813,,,,,,,,,,,,,,,,,,,,,,
2008-08-13,1218600000000,25.6143,21.55,3.23313,,,,,,,,,,,,,,,,,,,,,,
2008-08-14,1218686400000,25.6171,20.34,3.255,,,,,,,,,,,,,,,,,,,,,,
2008-08-15,1218772800000,25.1057,19.58,3.26313,,,,,,,,,,,,,,,,,,,,,,
2008-08-18,1219032000000,25.0557,20.98,3.24375,,,,,,,,,,,,,,,,,,,,,,
2008-08-19,1219118400000,24.79,21.28,3.23438,,,,,,,,,,,,,,,,,,,,,,
2008-08-20,1219204800000,25.12,20.42,3.17188,,,,,,,,,,,,,,,,,,,,,,
2008-08-21,1219291200000,24.8986,19.82,3.2125,,,,,,,,,,,,,,,,,,,,,,
2008-08-22,1219377600000,25.2557,18.81,3.2125,,,,,,,,,,,,,,,,,,,,,,
2008-08-25,1219636800000,24.65,20.97,3.22,,,,,,,,,,,,,,,,,,,,,,
2008-08-26,1219723200000,24.8057,20.49,3.23063,,,,,,,,,,,,,,,,,,,,,,
2008-08-27,1219809600000,24.9528,19.76,3.20688,,,,,,,,,,,,,,,,,,,,,,
2008-08-28,1219896000000,24.82,19.43,3.20688,,,,,,,,,,,,,,,,,,,,,,
2008-08-29,1219982400000,24.2186,20.65,3.195,,,,,,,,,,,,,,,,,,,,,,
2008-09-02,1220328000000,23.7414,21.99,3.21438,,,,,,,,,,,,,,,,,,,,,,
