,Unnamed: 0,Date,Price,5-Day,5-Day-Vol-Mean,5-Day-Vol-No-Mean,5-Day,90%-Spot-Vol-Mean-B-S-Call,90%-Spot-Vol-Mean-B-S-Put,90%-Spot-Vol-No-Mean-B-S-Call,90%-Spot-Vol-No-Mean-B-S-Put,95%-Spot-Vol-Mean-B-S-Call,95%-Spot-Vol-Mean-B-S-Put,95%-Spot-Vol-No-Mean-B-S-Call,95%-Spot-Vol-No-Mean-B-S-Put,100%-Spot-Vol-Mean-B-S-Call,100%-Spot-Vol-Mean-B-S-Put,100%-Spot-Vol-No-Mean-B-S-Call,100%-Spot-Vol-No-Mean-B-S-Put,105%-Spot-Vol-Mean-B-S-Call,105%-Spot-Vol-Mean-B-S-Put,105%-Spot-Vol-No-Mean-B-S-Call,105%-Spot-Vol-No-Mean-B-S-Put,110%-Spot-Vol-Mean-B-S-Call,110%-Spot-Vol-Mean-B-S-Put,110%-Spot-Vol-No-Mean-B-S-Call,110%-Spot-Vol-No-Mean-B-S-Put
0,0,1/1/18,13412.44,1.46317,,,,,,,,,,,,,,,,,,,,,,,
1,1,1/2/18,14740.7563,1.4660866666666668,,,,,,,,,,,,,,,,,,,,,,,
2,2,1/3/18,15134.6513,1.4608366666666666,,,,,,,,,,,,,,,,,,,,,,,
3,3,1/4/18,15155.2263,1.4589733333333337,,,,,,,,,,,,,,,,,,,,,,,
4,4,1/5/18,16937.1738,1.4589666666666667,,,,,,,,,,,,,,,,,,,,,,,
5,5,1/6/18,17135.8363,1.4580466666666667,0.9015143874392038,0.0,,,,,,,,,,,,,,,,,,,,,
6,6,1/7/18,16178.495,1.4554200000000002,0.960237806710688,0.0,,,,,,,,,,,,,,,,,,,,,
7,7,1/8/18,14970.3575,1.4552166666666666,1.1606840464684962,0.5491635647120334,,,,,,,,,,,,,,,,,,,,,
8,8,1/9/18,14439.4738,1.4554200000000002,1.4104134798281909,0.9226154946229888,12995.52642,14431.84422037871,1.3527606324443182,14430.51119054139,0.019730795124547503,14431.457500871247,1.4650600279648516,14430.014988187118,0.022547343837194582,14431.073295931103,1.5798739908058037,14429.518997647247,0.025575706949342393,14430.691508640444,1.697105603132525,14429.023221282014,0.02881824470169301,14430.31204971291,1.8166655785829138,14428.527661236529,0.03227710220172652
9,9,1/10/18,14890.7225,1.4563733333333333,1.4378859462608167,0.9849768248704966,13401.65025,14883.062119861384,1.5586188736455049,14881.553000203328,0.04949921558706033,14882.676858263463,1.6855238875146799,14881.047252669576,0.0559182936277936,14882.294264076041,1.815096311885796,14880.541912945142,0.06274518098663948,14881.914230893684,1.9472297413215014,14880.03698116734,0.06998001497832439,14881.536660868765,2.0818263281948597,14879.532457261164,0.07762272059174825
10,10,1/11/18,13287.26,1.4564733333333333,0.8754254290218956,1.0279052600037624,11958.534,13279.045822132672,0.007988955442039198,13279.11279857316,0.07496539593163748,13278.590271787838,0.00922565631862712,13278.665162713485,0.08411658196534093,13278.134827801767,0.010568715957042764,13278.218046211978,0.09378712616774981,13277.679492420457,0.012020380355370855,13277.771445971703,0.10397393160222146,13277.224267753614,0.013582759221049592,13277.325358826525,0.11467383213385393
11,11,1/12/18,13812.715,1.456956666666667,1.029688767698454,1.497021770626611,12431.443500000001,13804.267459184031,0.07914688836404561,13806.000783891086,1.8124715954192991,13803.803394509048,0.08878708584551573,13805.66895628717,1.9543488639659836,13803.339874633582,0.09897208284181896,13805.339728077566,2.098825526825673,13802.876896188598,0.10969851031915841,13805.012988596378,2.245790918099569,13802.414455740678,0.12096293486230461,13804.68863643934,2.395143633525217
12,12,1/13/18,14188.785,1.4560600000000001,1.2730354405806874,1.4410935851197093,12769.906500000001,14180.632503522369,0.6456988773103738,14181.495236823748,1.5084321786898969,14180.20368240685,0.7056663926206102,14181.128982208646,1.6309661944175977,14179.776717910167,0.7674905267687431,14180.76528317315,1.7560557897518012,14179.351553885062,0.831115132495447,14180.404037357794,1.8835986052248168,14178.928137976034,0.8964878542961395,14180.045150655915,2.0135005341779015
13,13,1/14/18,13619.0288,1.4560533333333334,1.2411629510150328,1.262123824300699,12257.12592,13611.089608309958,0.5059901975840393,13611.162857227202,0.5792391148280263,13610.668838916634,0.554397575795257,13610.748015544228,0.633574203388364,13610.249686732763,0.604422163457763,13610.334900387987,0.6896358186821778,13609.832106632137,0.6560188343670708,13609.92346089165,0.7473730938812391,13609.416056376229,0.7091453499914246,13609.513649564715,0.8067385384802216
14,14,1/15/18,13585.9013,1.4564733333333333,1.2509260567737963,1.275643819153136,12227.311169999999,13578.03047351704,0.536139808533777,13578.12038872295,0.626055014443192,13577.614246333469,0.5869663078222369,13577.711348615783,0.6840685901390358,13577.199678568368,0.6394522255836768,13577.304094175666,0.7438678328821583,13576.78672271892,0.6935500589952901,13576.898571096135,0.8053984362102385,13576.375334375325,0.749215398262244,13576.494728751899,0.8686097748363765
15,15,1/16/18,11348.02,1.4564066666666666,1.1780988503350158,1.2415307073399338,10213.218,11341.262971453742,0.26747616754414094,11341.416875458834,0.4213801726365096,11340.899987700188,0.29474267586822034,11341.06692858115,0.46168355682949624,11340.538065162104,0.32307039966206397,11340.71832740216,0.503332639719239,11340.17717977838,0.3524352778164097,11340.37103434949,0.5462898489268478,11339.817308812088,0.3828145734028267,11340.025014256129,0.5905200174424406
16,16,1/17/18,11141.2488,1.4562533333333334,1.690810003083462,1.820181933047317,10027.12392,11136.949609668458,2.602610898806158,11137.740946556021,3.393947786369606,11136.749309872703,2.785744504735941,11137.583635551948,3.620070183982751,11136.551137891738,2.9710059254579426,11137.428250413426,3.848118447146993,11136.354988412702,3.1582898481082577,11137.274689244512,4.077990679918072,11136.160765780478,3.347500617570413,11137.12285988079,4.309594717883607
17,17,1/18/18,11250.6475,1.455833333333333,1.5373885918313994,1.7907153923915364,10125.58275,11245.375178775656,1.711901992543464,11246.918857431398,3.255580648284557,11245.117835693589,1.842571311414982,11246.750227807395,3.474963425219626,11244.862669115133,1.9754171338964035,11246.58360413686,3.6963521556239463,11244.609582712199,2.1103431318999593,11246.418881702599,3.9196421223015365,11244.358488410624,2.247261231264049,11246.255965706814,4.144738527455128
18,18,1/19/18,11514.925,1.45813,1.4720801048909875,1.7746913959290844,10363.432499999999,11509.223202973506,1.3648688651176122,11511.044451760741,3.18611765235379,11508.939229722158,1.4734881633043577,11510.868036514092,3.4022949552379607,11508.657368039274,1.5842190299543355,11510.69368092175,3.620531912430304,11508.377530400003,1.6969739402172248,11510.521278365255,3.8407219054679813,11508.099636486348,1.8116725760959587,11510.350732274424,4.062768364172098
19,19,1/20/18,12759.6413,1.45771,1.5910505538340842,1.7451220651222656,11483.677169999999,12754.062311318141,2.268016312092887,12755.12770284661,3.333407840562034,12753.79430662185,2.435956337688831,12754.920731282115,3.5623809979532375,12753.52877390261,2.6063683403346767,12754.716100751348,3.79369518907394,12753.265598875976,2.77913803558749,12754.513691865715,4.027231025325783,12753.004677313567,2.9541611950651885,12754.313396386633,4.262880268131612
20,20,1/21/18,11522.8588,1.4581266666666666,1.9835409464690184,2.0015705612506594,10370.57292,11520.211059608037,4.423912302575692,11520.307862736641,4.520715431180796,11520.097518534536,4.703240823216756,11520.198990649806,4.804712938485051,11519.985566178484,4.9841580613059735,11520.09166128513,5.090253167953671,11519.875113143671,5.266574620633391,11519.985787335741,5.377248812704352,11519.766078899089,5.550409970194249,11519.8812901832,5.665621254303346
21,21,1/22/18,10772.15,1.45896,1.4122272158906812,1.4137368895189462,9694.935,10766.557620820333,0.9910704195764082,10766.564250754363,0.9977003536072347,10766.274117663183,1.0733144623821986,10766.281206791738,1.0804035909395115,10765.992454332318,1.1573983314744822,10766.0000064161,1.1649504152566825,10765.712559906153,1.2432511052684656,10765.720578418253,1.2512696173708036,10765.43436904909,1.330807448161857,10765.442857204578,1.3392956036523394
22,22,1/23/18,10839.8263,1.4598666666666666,1.5366271186026284,1.5433525932010512,9755.84367,10834.832060368733,1.6006061512068923,10834.868154355501,1.6367001379745818,10834.588025408493,1.7229515122140204,10834.626377120909,1.7613032246313092,10834.346039960856,1.8473463858262005,10834.386654713844,1.8879611388139201,10834.106013551616,1.9737002978347595,10834.148895881244,2.016582627461701,10833.867863447836,2.101930515303436,10833.913017206378,2.1470842738451728
23,23,1/24/18,11399.52,1.4610033333333334,1.5334766241702056,1.5416886476295644,10259.568000000001,11394.276624732767,1.6526786083026246,11394.322555915356,1.6986097908916564,11394.0201097187,1.779277698432557,11394.068920369406,1.828088349137615,11393.765733480404,1.9080155643333847,11393.817430735186,1.9597128191136912,11393.513401921946,2.038798110069828,11393.56799190494,2.0933880930652804,11393.263028982341,2.1715392746609954,11393.320516928678,2.2290272209966604
24,24,1/25/18,11137.2375,1.4603766666666669,1.599073951761652,1.5996528252009323,10023.51375,11132.470320669705,1.9913523100012251,11132.473673653174,1.9947052934690452,11132.241740254138,2.138245874449481,11132.24529428705,2.141799907361128,11132.015287398475,2.2872669988036183,11132.019042504593,2.2910221049228285,11131.790863247224,2.438316827568107,11131.794819405995,2.442272986339675,11131.5683776705,2.5913052308621167,11131.572534823275,2.595462383638365
25,25,1/26/18,11090.0638,1.4589333333333332,1.1443069297641362,1.2833375698465759,9981.057420000001,11083.47933332414,0.1941811810825472,11083.809826744284,0.5246746012267335,11083.123295911544,0.2147353160947489,11083.481556794835,0.5729961993852459,11082.768129459986,0.23616041214434438,11083.154750435675,0.6227813878347331,11082.413817069006,0.2584395687722032,11082.829362482089,0.6739849818552002,11082.060342654973,0.281556702349513,11082.505350843132,0.7265648905068506
26,26,1/27/18,11407.1538,1.45875,0.8205705782380283,0.8367098528038762,10266.43842,11400.177123493617,0.0021825764202835817,11400.178037472566,0.0030965553685298308,11399.789784083032,0.0025575593239632348,11399.790838601722,0.003612078014731901,11399.402482648577,0.002970518356461973,11399.403689474251,0.004177344033531681,11399.015220526655,0.0034227899260880256,11399.01659162178,0.00479388504860156,11398.627999002598,0.003915659358118858,11398.629546508078,0.005463164836099217
27,27,1/28/18,11694.4675,1.45875,0.5464344113808279,0.5987166669404556,10525.020750000001,11687.312863375399,3.252090938593253e-08,11687.312864214826,8.719487147132419e-07,11686.915383572834,4.424091932300837e-08,11686.915384662896,1.1343051918507465e-06,11686.517903773449,5.913955642807972e-08,11686.517905168053,1.4537447270561256e-06,11686.120423977845,7.78221463820001e-08,11686.120425738374,1.8383499083764613e-06,11685.722944186702,1.0096393968349007e-07,11685.722946382508,2.296768835774806e-06
