Date,1-Day-LIBOR,7-Day-LIBOR,1-Month-LIBOR,2-Month-LIBOR,3-Month-LIBOR,6-Month-LIBOR,1-Year-LIBOR,2-Day-LIBOR,3-Day-LIBOR,4-Day-LIBOR,5-Day-LIBOR,6-Day-LIBOR,8-Day-LIBOR,9-Day-LIBOR,10-Day-LIBOR,11-Day-LIBOR,12-Day-LIBOR,13-Day-LIBOR,14-Day-LIBOR,4-Month-LIBOR,5-Month-LIBOR,7-Month-LIBOR,8-Month-LIBOR,9-Month-LIBOR,10-Month-LIBOR,11-Month-LIBOR
1/2/86,,,8.125,,8,8,8.0625,,,,,,,,,,,,,8,8,8.010135135,8.02027027,8.030405405,8.040540541,8.050675676
1/3/86,,,8.125,,8.0625,8.0625,8.125,,,,,,,,,,,,,8.0625,8.0625,8.072635135,8.08277027,8.092905405,8.103040541,8.113175676
1/6/86,,,8.1875,,8.125,8.125,8.125,,,,,,,,,,,,,8.125,8.125,8.125,8.125,8.125,8.125,8.125
1/7/86,,,8.125,,8.125,8.125,8.125,,,,,,,,,,,,,8.125,8.125,8.125,8.125,8.125,8.125,8.125
1/8/86,,,8,,8,8,8.0625,,,,,,,,,,,,,8,8,8.010135135,8.02027027,8.030405405,8.040540541,8.050675676
1/9/86,,,8.1875,,8.1875,8.1875,8.3125,,,,,,,,,,,,,8.1875,8.1875,8.20777027,8.228040541,8.248310811,8.268581081,8.288851351
1/10/86,,,8.25,,8.25,8.25,8.375,,,,,,,,,,,,,8.25,8.25,8.27027027,8.290540541,8.310810811,8.331081081,8.351351351
1/13/86,,,8.3125,,8.375,8.375,8.5625,,,,,,,,,,,,,8.375,8.375,8.405405405,8.435810811,8.466216216,8.496621622,8.527027027
1/14/86,,,8.375,,8.375,8.375,8.625,,,,,,,,,,,,,8.375,8.375,8.415540541,8.456081081,8.496621622,8.537162162,8.577702703
1/15/86,,,8.25,,8.25,8.25,8.5,,,,,,,,,,,,,8.25,8.25,8.290540541,8.331081081,8.371621622,8.412162162,8.452702703
1/16/86,,,8.1875,,8.1875,8.1875,8.375,,,,,,,,,,,,,8.1875,8.1875,8.217905405,8.248310811,8.278716216,8.309121622,8.339527027
1/17/86,,,8.1875,,8.1875,8.1875,8.3125,,,,,,,,,,,,,8.1875,8.1875,8.20777027,8.228040541,8.248310811,8.268581081,8.288851351
1/20/86,,,8.25,,8.25,8.25,8.5,,,,,,,,,,,,,8.25,8.25,8.290540541,8.331081081,8.371621622,8.412162162,8.452702703
1/21/86,,,8.1875,,8.1875,8.1875,8.375,,,,,,,,,,,,,8.1875,8.1875,8.217905405,8.248310811,8.278716216,8.309121622,8.339527027
1/22/86,,,8.1875,,8.1875,8.1875,8.375,,,,,,,,,,,,,8.1875,8.1875,8.217905405,8.248310811,8.278716216,8.309121622,8.339527027
1/23/86,,,8.1875,,8.1875,8.25,8.4375,,,,,,,,,,,,,8.208333333,8.229166667,8.280405405,8.310810811,8.341216216,8.371621622,8.402027027
1/24/86,,,8.1875,,8.1875,8.1875,8.375,,,,,,,,,,,,,8.1875,8.1875,8.217905405,8.248310811,8.278716216,8.309121622,8.339527027
1/27/86,,,8.125,,8.125,8.125,8.3125,,,,,,,,,,,,,8.125,8.125,8.155405405,8.185810811,8.216216216,8.246621622,8.277027027
1/28/86,,,8.0625,,8.0625,8.125,8.25,,,,,,,,,,,,,8.083333333,8.104166667,8.14527027,8.165540541,8.185810811,8.206081081,8.226351351
1/29/86,,,8.0625,,8.0625,8.0625,8.25,,,,,,,,,,,,,8.0625,8.0625,8.092905405,8.123310811,8.153716216,8.184121622,8.214527027
1/30/86,,,8.0625,,8.0625,8.125,8.25,,,,,,,,,,,,,8.083333333,8.104166667,8.14527027,8.165540541,8.185810811,8.206081081,8.226351351
1/31/86,,,8.0625,,8.0625,8.125,8.25,,,,,,,,,,,,,8.083333333,8.104166667,8.14527027,8.165540541,8.185810811,8.206081081,8.226351351
2/3/86,,,8.0625,,8.0625,8.0625,8.25,,,,,,,,,,,,,8.0625,8.0625,8.092905405,8.123310811,8.153716216,8.184121622,8.214527027
2/4/86,,,8.0313,,8.0625,8.0625,8.2188,,,,,,,,,,,,,8.0625,8.0625,8.087845946,8.113191892,8.138537838,8.163883784,8.18922973
2/5/86,,,8,,8,8,8.1825,,,,,,,,,,,,,8,8,8.029594595,8.059189189,8.088783784,8.118378378,8.147972973
2/6/86,,,8,,8,8.031,8.1825,,,,,,,,,,,,,8.010333333,8.020666667,8.055567568,8.080135135,8.104702703,8.12927027,8.153837838
2/7/86,,,8,,8.0625,8.0625,8.25,,,,,,,,,,,,,8.0625,8.0625,8.092905405,8.123310811,8.153716216,8.184121622,8.214527027
2/10/86,,,8.0625,,8.125,8.125,8.3125,,,,,,,,,,,,,8.125,8.125,8.155405405,8.185810811,8.216216216,8.246621622,8.277027027
2/11/86,,,8.0313,,8.0625,8.125,8.3125,,,,,,,,,,,,,8.083333333,8.104166667,8.155405405,8.185810811,8.216216216,8.246621622,8.277027027
2/12/86,,,8.0625,,8.0625,8.125,8.2813,,,,,,,,,,,,,8.083333333,8.104166667,8.150345946,8.175691892,8.201037838,8.226383784,8.25172973
2/13/86,,,8.0625,,8.0625,8.125,8.25,,,,,,,,,,,,,8.083333333,8.104166667,8.14527027,8.165540541,8.185810811,8.206081081,8.226351351
2/14/86,,,8,,8.0625,8.0625,8.25,,,,,,,,,,,,,8.0625,8.0625,8.092905405,8.123310811,8.153716216,8.184121622,8.214527027
2/17/86,,,8,,8,8,8.125,,,,,,,,,,,,,8,8,8.02027027,8.040540541,8.060810811,8.081081081,8.101351351
2/18/86,,,8,,8,8,8.0938,,,,,,,,,,,,,8,8,8.015210811,8.030421622,8.045632432,8.060843243,8.076054054
2/19/86,,,8,,8,8,8.125,,,,,,,,,,,,,8,8,8.02027027,8.040540541,8.060810811,8.081081081,8.101351351
2/20/86,,,8,,8,8,8.125,,,,,,,,,,,,,8,8,8.02027027,8.040540541,8.060810811,8.081081081,8.101351351
2/21/86,,,8,,8,8,8.125,,,,,,,,,,,,,8,8,8.02027027,8.040540541,8.060810811,8.081081081,8.101351351
2/24/86,,,8,,8,8,8.125,,,,,,,,,,,,,8,8,8.02027027,8.040540541,8.060810811,8.081081081,8.101351351
