,Unnamed: 0,Date,Price,13-Day,13-Day-Vol-Mean,13-Day-Vol-No-Mean,13-Day,90%-Spot-Vol-Mean-B-S-Call,90%-Spot-Vol-Mean-B-S-Put,90%-Spot-Vol-No-Mean-B-S-Call,90%-Spot-Vol-No-Mean-B-S-Put,95%-Spot-Vol-Mean-B-S-Call,95%-Spot-Vol-Mean-B-S-Put,95%-Spot-Vol-No-Mean-B-S-Call,95%-Spot-Vol-No-Mean-B-S-Put,100%-Spot-Vol-Mean-B-S-Call,100%-Spot-Vol-Mean-B-S-Put,100%-Spot-Vol-No-Mean-B-S-Call,100%-Spot-Vol-No-Mean-B-S-Put,105%-Spot-Vol-Mean-B-S-Call,105%-Spot-Vol-Mean-B-S-Put,105%-Spot-Vol-No-Mean-B-S-Call,105%-Spot-Vol-No-Mean-B-S-Put,110%-Spot-Vol-Mean-B-S-Call,110%-Spot-Vol-Mean-B-S-Put,110%-Spot-Vol-No-Mean-B-S-Call,110%-Spot-Vol-No-Mean-B-S-Put
0,0,1/1/18,13412.44,1.5022591304347823,,,,,,,,,,,,,,,,,,,,,,,
1,1,1/2/18,14740.7563,1.5016069565217391,,,,,,,,,,,,,,,,,,,,,,,
2,2,1/3/18,15134.6513,1.4940539130434782,,,,,,,,,,,,,,,,,,,,,,,
3,3,1/4/18,15155.2263,1.4919595652173914,,,,,,,,,,,,,,,,,,,,,,,
4,4,1/5/18,16937.1738,1.4913,,,,,,,,,,,,,,,,,,,,,,,
5,5,1/6/18,17135.8363,1.490606086956522,,,,,,,,,,,,,,,,,,,,,,,
6,6,1/7/18,16178.495,1.4876939130434783,,,,,,,,,,,,,,,,,,,,,,,
7,7,1/8/18,14970.3575,1.4879304347826086,,,,,,,,,,,,,,,,,,,,,,,
8,8,1/9/18,14439.4738,1.4891808695652171,,,,,,,,,,,,,,,,,,,,,,,
9,9,1/10/18,14890.7225,1.490243043478261,,,,,,,,,,,,,,,,,,,,,,,
10,10,1/11/18,13287.26,1.4894852173913042,,,,,,,,,,,,,,,,,,,,,,,
11,11,1/12/18,13812.715,1.4895565217391304,,,,,,,,,,,,,,,,,,,,,,,
12,12,1/13/18,14188.785,1.4893817391304347,,,,,,,,,,,,,,,,,,,,,,,
13,13,1/14/18,13619.0288,1.4903343478260869,1.21623178966856,0.0,,,,,,,,,,,,,,,,,,,,,
14,14,1/15/18,13585.9013,1.4908260869565215,1.2400569822356866,0.0,,,,,,,,,,,,,,,,,,,,,
15,15,1/16/18,11348.02,1.4904547826086956,1.118771065866691,0.01343157890737128,,,,,,,,,,,,,,,,,,,,,
16,16,1/17/18,11141.2488,1.4906004347826087,1.4273964998762592,0.9927554167142308,10027.12392,11141.248764703301,3.2069885577310786e-06,11141.24876149866,2.3471268085937723e-09,11141.248762807418,3.450199636225949e-06,11141.24875935985,2.6323147010978658e-09,11141.248760915776,3.6976502931559525e-06,11141.24875722106,2.934259037394048e-09,11141.248759028209,3.949176765983066e-06,11141.248755082284,3.252972279527754e-09,11141.248757144565,4.204628805695115e-06,11141.248752943528,3.588463086910469e-09
17,17,1/18/18,11250.6475,1.49014,1.4213266291280553,0.997922251405859,10125.58275,11250.647463988296,3.103492365475027e-06,11250.6474608876,2.79658085998411e-09,11250.647462051631,3.3398909261737624e-06,11250.647458714871,3.1336613830334397e-09,11250.647460119153,3.580480817716003e-06,11250.647456542161,3.4902490417103377e-09,11250.647458190708,3.825101391711731e-06,11250.647454369471,3.866342218052124e-09,11250.647456266144,4.07360520569627e-06,11250.647452196801,4.261935689271163e-09
18,18,1/19/18,11514.925,1.493903913043478,1.2153793431367086,0.9993762972799588,10363.432499999999,11514.924962153824,2.7608869419220105e-07,11514.92496188043,2.6944174038813385e-09,11514.92496006124,3.014082601807623e-07,11514.924959762851,3.019048537836244e-09,11514.924957969457,3.2753083596721155e-07,11514.924957645291,3.3624529663581044e-09,11514.924955878461,3.54436587130656e-07,11514.92495552775,3.7246285656060305e-09,11514.924953788228,3.8210700566176573e-07,11514.924953410225,4.10556978082062e-09
19,19,1/20/18,12759.6413,1.4936573913043478,1.2293167840818953,1.0075466940670956,11483.677169999999,12759.64125800017,3.7889348282488717e-07,12759.641257625084,3.807655638583225e-09,12759.64125568004,4.1313690736241417e-07,12759.641255271164,4.260798281288178e-09,12759.641253360956,4.4842517210374376e-07,12759.64125291727,4.73953796773064e-09,12759.641251042887,4.847312670532681e-07,12759.641250563402,5.243839728749228e-09,12759.641248725811,5.220300264243393e-07,12759.641248209555,5.773665616959172e-09
20,20,1/21/18,11522.8588,1.4951391304347823,1.4032237783834451,1.1556853570646746,10370.57292,11522.858764944476,2.4853168527169243e-06,11522.858762558377,9.921639566790116e-08,11522.858763051123,2.677565794573985e-06,11522.858760482499,1.089414208667158e-07,11522.858761161382,2.8734272879984306e-06,11522.858758406986,1.1903043036927183e-07,11522.85875927512,3.0727667453067365e-06,11522.858756331829,1.2947641181958953e-07,11522.858757392212,3.275460490625204e-06,11522.858754257022,1.4027277146556294e-07
21,21,1/22/18,10772.15,1.4963891304347825,1.4399883601257824,1.285216187395859,9694.935,10772.14996857577,3.105156062786109e-06,10772.14996611715,6.465362992568548e-07,10772.149966891198,3.3388847456160297e-06,10772.149964254208,7.018931636462352e-07,10772.149965210587,3.576570220526264e-06,10772.149962392716,7.58701561568568e-07,10772.149963533773,3.81805770226077e-06,10772.149960532635,8.169179882895838e-07,10772.149961860623,4.0632052596114714e-06,10772.14995867392,8.765021194431245e-07
22,22,1/23/18,10839.8263,1.498698695652174,1.4599258368231047,1.3378444960075673,9755.84367,10839.82626979152,3.5101067180649256e-06,10839.8262674311,1.1496862815871856e-06,10839.826268178898,3.7707401842128143e-06,10839.826265651787,1.2436290240979834e-06,10839.826266570451,4.035549223368297e-06,10839.82626387461,1.3397046403334925e-06,10839.826264966016,4.304366678144672e-06,10839.82626209949,1.4378419221711858e-06,10839.826263365434,4.577039432933241e-06,10839.826260326368,1.5379751383079974e-06
23,23,1/24/18,11399.52,1.498281304347826,1.4383192720093758,1.338290306937036,10259.568000000001,11399.519967483979,3.1364912274985136e-06,11399.519965572,1.2245130672098403e-06,11399.519965739797,3.3730036221134376e-06,11399.519963691311,1.324517138392147e-06,11399.519963999646,3.6135488521312774e-06,11399.519961812886,1.4267877851984006e-06,11399.519962263372,3.8579696735249315e-06,11399.519959936652,1.5312492466897203e-06,11399.51996053083,4.106121879813946e-06,11399.51995806254,1.6378315921125064e-06
24,24,1/25/18,11137.2375,1.4976152173913044,1.3899514869724232,1.366789447738742,10023.51375,11137.237466900067,2.035205388415114e-06,11137.237466493023,1.628161976703594e-06,11137.237465107322,2.194412226721347e-06,11137.237464670847,1.7579385167230626e-06,11137.237463317691,2.3567354386871197e-06,11137.237462851384,1.8904277392882477e-06,11137.237461531067,2.522061368229492e-06,11137.23746103454,2.0255342743673103e-06,11137.237459747337,2.690285479493194e-06,11137.237459220223,2.1631702704074553e-06
25,25,1/26/18,11090.0638,1.4977604347826088,1.3598456401591803,1.3728050664947336,9981.057420000001,11090.063766587524,1.5078549049667144e-06,11090.063766795543,1.7158733141891996e-06,11090.063764768393,1.6287426243951627e-06,11090.063764991623,1.8519736476731786e-06,11090.063762951839,1.7522076591370896e-06,11090.063763190503,1.990871352686068e-06,11090.063761137773,1.8781604579964107e-06,11090.06376139208,2.132467119753244e-06,11090.063759326113,2.0065184897812615e-06,11090.063759596265,2.2766695052479142e-06
26,26,1/27/18,11407.1538,1.4975786956521742,1.3394687575087922,1.3730046519479489,10266.43842,11407.153765253834,1.2575779390955362e-06,11407.15376577055,1.7742955411188412e-06,11407.1537633562,1.3601531829649915e-06,11407.153763911047,1.9149984531500596e-06,11407.153761460882,1.4650437516542406e-06,11407.15376205443,2.0585910862801614e-06,11407.153759567802,1.5721720404849896e-06,11407.153760200601,2.2049708056277674e-06,11407.15375767689,1.6814664245997494e-06,11407.153758349466,2.3540431073083713e-06
27,27,1/28/18,11694.4675,1.497594347826087,1.3549261576066691,1.3817796898403056,10525.020750000001,11694.467464613615,1.5166815132314746e-06,11694.46746507625,1.9793169767152283e-06,11694.467462685536,1.6387724641226342e-06,11694.467463181929,2.1351660007208367e-06,11694.467460760095,1.7635021952448033e-06,11694.46746129073,2.2941372591550777e-06,11694.467458837202,1.8907797796912947e-06,11694.46745940254,2.4561183032768486e-06,11694.467456916775,2.020521390009137e-06,11694.467457517258,2.6210056529536474e-06
28,28,1/29/18,11158.3938,1.4978691304347826,1.3694414834377742,1.3885084684060018,10042.55442,11158.393766581046,1.6669220972275386e-06,11158.393766916657,2.002533706150012e-06,11158.393764764416,1.7995094042791991e-06,11158.393765124287,2.159377537304493e-06,11158.393762950542,1.9348482747700098e-06,11158.393763334998,2.319305049226234e-06,11158.393761139321,2.072841566786034e-06,11158.393761548683,2.482204044546242e-06,11158.393759330662,2.213399812029177e-06,11158.393759765235,2.6479713187666917e-06
29,29,1/30/18,10034.9975,1.4990721739130437,1.0044308361205707,1.0047615187478545,9031.49775,10034.997468938482,2.363191794547088e-09,10034.997468938504,2.3859957923877866e-09,10034.997467212992,2.6464533052684208e-09,10034.99746721302,2.6718495915561886e-09,10034.99746548752,2.9459379371580607e-09,10034.99746548755,2.974059600265824e-09,10034.997463762065,3.2616356048339105e-09,10034.997463762096,3.2926148290662302e-09,10034.997462036627,3.5935337002303963e-09,10034.99746203666,3.627501788526815e-09
30,30,1/31/18,10166.5063,1.5001939130434785,1.1472424428560768,1.1583405318589073,9149.855669999999,10166.506269051399,6.677672256676096e-08,10166.506269066625,8.200230315347732e-08,10166.506267334948,7.340081482897018e-08,10166.506267351579,9.003192984299136e-08,10166.506265618751,8.027994277978036e-08,10166.506265636832,9.836140643680616e-08,10166.506263902804,8.740945507639447e-08,10166.50626392238,1.0698493554622361e-07,10166.506262187104,9.478497117017773e-08,10166.506262208215,1.1589706656606196e-07
31,31,2/1/18,9052.5763,1.5011178260869564,1.1489047948544808,1.1593122015956538,8147.318670000001,9052.576272772727,6.006982954739372e-08,9052.576272785449,7.279247695216026e-08,9052.576271262713,6.601922780350854e-08,9052.57627127661,7.99149596188424e-08,9052.576269752928,7.219684793994004e-08,9052.576269768033,8.730295122353245e-08,9052.576268243365,7.859849773687857e-08,9052.576268259718,9.495130245097037e-08,9052.576266734024,8.522022987503434e-08,9052.576266751657,1.0285517246497694e-07
32,32,2/2/18,8827.63,1.5022060869565217,1.2656238345117792,1.3180445980325466,7944.866999999999,8827.629974130485,3.6596810833086706e-07,8827.629974466454,7.019364272627359e-07,8827.629972704954,3.9796433720160137e-07,8827.629973067364,7.603723723848971e-07,8827.629971280316,4.308518868632177e-07,8827.62997166968,8.202160509036391e-07,8827.629969856544,4.6460546179380775e-07,8827.62997027336,8.814223798910324e-07,8827.629968433612,4.992015698630562e-07,8827.62996887836,9.43949676609607e-07
33,33,2/3/18,9224.3913,1.5017699999999998,1.0575889787624702,1.1983497391390447,8301.95217,9224.391272437908,8.412664736576542e-09,9224.391272572502,1.4300755632487968e-07,9224.39127090715,9.34846182264256e-09,9224.391271054204,1.5640476544624864e-07,9224.391269376434,1.0330516009131423e-08,9224.391269536356,1.702508779531011e-07,9224.39126784577,1.1358459590333178e-08,9224.391268018946,1.8453558120815477e-07,9224.391266315148,1.2431937873297376e-08,9224.391266501967,1.992492301098236e-07
34,34,2/4/18,8186.6488,1.5032065217391304,1.0309458605061528,1.0856620656243907,7367.98392,8186.648775987504,3.6211093971716262e-09,8186.648775997889,1.4006024556006794e-08,8186.648774653692,4.03946060177128e-09,8186.648774665162,1.550763265405137e-08,8186.648773319905,4.4801251194012256e-09,8186.648773332503,1.707797773642178e-08,8186.64877198614,4.9430072268345305e-09,8186.648771999912,1.871627787826746e-08,8186.648770652395,5.428012340888282e-09,8186.648770667389,2.0421786874838432e-08
35,35,2/5/18,6914.26,1.5050865217391305,1.1391266966784912,1.214025467098313,6222.834000000001,6914.259980241019,3.477271092728986e-08,6914.259980334371,1.2812603042730133e-07,6914.259979144855,3.826255860745933e-08,6914.259979246537,1.3994421195743808e-07,6914.259978048829,4.189046932217647e-08,6914.2599781590825,1.5214299509572594e-07,6914.259976952941,4.5654064939042616e-08,6914.259977071999,1.6471316664444955e-07,6914.259975857184,4.955110216975235e-08,6914.259975985278,1.7764612423805676e-07
36,36,2/6/18,7700.3863,1.5046208695652172,1.3665712457779655,1.5298886993269598,6930.34767,7700.386278808826,9.869076966974454e-07,7700.386281488503,3.666585264344221e-06,7700.386277655572,1.0657689040081824e-06,7700.386280516666,3.926863908904879e-06,7700.386276503979,1.146293074499724e-06,7700.386279548244,4.190556922603434e-06,7700.3862753539925,1.2284220734293842e-06,7700.386278583089,4.457517470638866e-06,7700.386274205558,1.312102337369161e-06,7700.386277621067,4.727611505832555e-06
37,37,2/7/18,7581.8038,1.5054917391304348,1.5020290441977449,1.6174602031749106,6823.62342,7581.803781373873,2.9645986462140456e-06,7581.803784188604,5.779329798300858e-06,7581.803780388697,3.1789072263782853e-06,7581.803783379096,6.169306995525943e-06,7581.80377940658,3.396275270207021e-06,7581.8037825734955,6.563190587525094e-06,7581.803778427395,3.616574889696291e-06,7581.8037817716195,6.960799646282035e-06,7581.803777451025,3.839689175850249e-06,7581.803780973305,7.361969611967234e-06
38,38,2/8/18,8237.2363,1.510236956521739,1.5036745723015448,1.6146278271096441,7413.512670000001,8237.236280953912,3.0078181167482154e-06,8237.236283693495,5.747402131707778e-06,8237.236279946183,3.225305971667809e-06,8237.236282857137,6.136260564827005e-06,8237.236278941562,3.4459027903861023e-06,8237.236282024736,6.529076687873631e-06,8237.236277939921,3.6694787132031976e-06,8237.23628119611,6.925667942173866e-06,8237.236276941141,3.895915025237881e-06,8237.236280371093,7.325868250728797e-06
39,39,2/9/18,8689.8388,1.5139,1.6151342774719826,1.6779690509886471,7820.85492,8689.838783553789,5.7375323518444705e-06,8689.838785425774,7.6095176777658866e-06,8689.838782709787,6.125959917305389e-06,8689.838784692247,8.108420630608431e-06,8689.838781869752,6.518355546764687e-06,8689.838783962881,8.611484659934018e-06,8689.838781033503,6.914536405273357e-06,8689.838783237476,9.118509340732192e-06,8689.838780200873,7.314336155680536e-06,8689.83878251585,9.629312756247113e-06
