Datetime,Timestamp,Price,VIX,3-Month-LIBOR,3-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,105-Straddles,105-Straddles-P,105-Straddles-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI
2008-07-30,1217390400000,22.84,21.21,2.80063,,,,,,,,,,,,,,,,,,,
2008-07-31,1217476800000,22.7071,22.94,2.79125,,,,,,,,,,,,,,,,,,,
2008-08-01,1217563200000,22.38,22.57,2.79438,,,,,,,,,,,,,,,,,,,
2008-08-04,1217822400000,21.89,23.49,2.79813,,,,,,,,,,,,,,,,,,,
2008-08-05,1217908800000,22.9486,21.14,2.80188,,,,,,,,,,,,,,,,,,,
2008-08-06,1217995200000,23.4557,20.23,2.8025,,,,,,,,,,,,,,,,,,,
2008-08-07,1218081600000,23.3671,21.15,2.8025,,,,,,,,,,,,,,,,,,,
2008-08-08,1218168000000,24.2214,20.66,2.80375,,,,,,,,,,,,,,,,,,,
2008-08-11,1218427200000,24.7943,20.12,2.80375,,,,,,,,,,,,,,,,,,,
2008-08-12,1218513600000,25.2471,21.17,2.80438,,,,,,,,,,,,,,,,,,,
2008-08-13,1218600000000,25.6143,21.55,2.80438,,,,,,,,,,,,,,,,,,,
2008-08-14,1218686400000,25.6171,20.34,2.80688,,,,,,,,,,,,,,,,,,,
2008-08-15,1218772800000,25.1057,19.58,2.80875,,,,,,,,,,,,,,,,,,,
2008-08-18,1219032000000,25.0557,20.98,2.81,,,,,,,,,,,,,,,,,,,
2008-08-19,1219118400000,24.79,21.28,2.81125,,,,,,,,,,,,,,,,,,,
2008-08-20,1219204800000,25.12,20.42,2.81188,,,,,,,,,,,,,,,,,,,
2008-08-21,1219291200000,24.8986,19.82,2.8106299999999997,,,,,,,,,,,,,,,,,,,
2008-08-22,1219377600000,25.2557,18.81,2.81,,,,,,,,,,,,,,,,,,,
2008-08-25,1219636800000,24.65,20.97,2.81,,,,,,,,,,,,,,,,,,,
2008-08-26,1219723200000,24.8057,20.49,2.80938,,,,,,,,,,,,,,,,,,,
2008-08-27,1219809600000,24.9528,19.76,2.81,,,,,,,,,,,,,,,,,,,
2008-08-28,1219896000000,24.82,19.43,2.81,,,,,,,,,,,,,,,,,,,
2008-08-29,1219982400000,24.2186,20.65,2.8106299999999997,,,,,,,,,,,,,,,,,,,
2008-09-02,1220328000000,23.7414,21.99,2.81,,,,,,,,,,,,,,,,,,,
2008-09-03,1220414400000,23.8514,21.43,2.81313,,,,,,,,,,,,,,,,,,,
2008-09-04,1220500800000,23.0314,24.03,2.81375,,,,,,,,,,,,,,,,,,,
2008-09-05,1220587200000,22.8829,23.06,2.815,,,,,,,,,,,,,,,,,,,
2008-09-08,1220846400000,22.56,22.64,2.81438,,,,,,,,,,,,,,,,,,,
2008-09-09,1220932800000,21.6686,25.47,2.81688,,,,,,,,,,,,,,,,,,,
2008-09-10,1221019200000,21.6586,24.52,2.81813,,,,,,,,,,,,,,,,,,,
2008-09-11,1221105600000,21.8071,24.39,2.81875,,,,,,,,,,,,,,,,,,,
2008-09-12,1221192000000,21.2771,25.66,2.81875,,,,,,,,,,,,,,,,,,,
2008-09-15,1221451200000,20.0514,31.7,2.81625,,,,,,,,,,,,,,,,,,,
2008-09-16,1221537600000,19.9829,30.3,2.87625,,,,,,,,,,,,,,,,,,,
2008-09-17,1221624000000,18.2614,36.22,3.0625,,,,,,,,,,,,,,,,,,,
2008-09-18,1221710400000,19.1557,33.1,3.20375,,,,,,,,,,,,,,,,,,,
2008-09-19,1221796800000,20.13,32.07,3.21,,,,,,,,,,,,,,,,,,,
2008-09-22,1222056000000,18.7214,33.85,3.1975,,,,,,,,,,,,,,,,,,,
2008-09-23,1222142400000,18.12,35.72,3.21125,,,,,,,,,,,,,,,,,,,
2008-09-24,1222228800000,18.3871,35.19,3.47625,,,,,,,,,,,,,,,,,,,
2008-09-25,1222315200000,18.8471,32.82,3.76875,,,,,,,,,,,,,,,,,,,
2008-09-26,1222401600000,18.32,34.74,3.76188,,,,,,,,,,,,,,,,,,,
2008-09-29,1222660800000,15.0371,46.72,3.8825,,,,,,,,,,,,,,,,,,,
2008-09-30,1222747200000,16.2371,39.39,4.0525,,,,,,,,,,,,,,,,,,,
2008-10-01,1222833600000,15.5886,39.81,4.15,,,,,,,,,,,,,,,,,,,
2008-10-02,1222920000000,14.3,45.26,4.2075,,,,,,,,,,,,,,,,,,,
2008-10-03,1223006400000,13.8671,45.14,4.33375,,,,,,,,,,,,,,,,,,,
2008-10-06,1223265600000,14.02,52.05,4.28875,,,,,,,,,,,,,,,,,,,
2008-10-07,1223352000000,12.7371,53.68,4.32,,,,,,,,,,,,,,,,,,,
2008-10-08,1223438400000,12.8271,57.53,4.52375,,,,,,,,,,,,,,,,,,,
2008-10-09,1223524800000,12.6771,63.92,4.75,,,,,,,,,,,,,,,,,,,
2008-10-10,1223611200000,13.8286,69.95,4.81875,,,,,,,,,,,,,,,,,,,
2008-10-13,1223870400000,15.7514,54.99,4.7525,,,,,,,,,,,,,,,,,,,
2008-10-14,1223956800000,14.8686,55.13,4.635,,,,,,,,,,,,,,,,,,,
2008-10-15,1224043200000,13.9929,69.25,4.55,,,,,,,,,,,,,,,,,,,
2008-10-16,1224129600000,14.5557,67.61,4.5025,,,,,,,,,,,,,,,,,,,
2008-10-17,1224216000000,13.9143,70.33,4.41875,,,,,,,,,,,,,,,,,,,
2008-10-20,1224475200000,14.0629,52.97,4.05875,,,,,,,,,,,,,,,,,,,
2008-10-21,1224561600000,13.07,53.11,3.83375,,,,,,,,,,,,,,,,,,,
2008-10-22,1224648000000,13.8386,69.65,3.54125,,,,,,,,,,,,,,,,,,,
2008-10-23,1224734400000,14.0329,67.8,3.535,,,,,,,,,,,,,,,,,,,
2008-10-24,1224820800000,13.7686,79.13,3.51625,,,,,,,,,,,,,,,,,,,
2008-10-27,1225080000000,13.1557,80.06,3.5075,,,,,,,,,,,,,,,,,,,
2008-10-28,1225166400000,14.2729,66.96,3.42,,,,,,,,,,,,,,,,,,,
2008-10-29,1225252800000,14.9357,69.96,3.1925,,,,,,,,,,,,,,,,,,,
2008-10-30,1225339200000,15.8629,62.9,3.02625,,,,,,,,,,,,,,,,,,,
2008-10-31,1225425600000,15.37,59.89,2.85875,,,,,,,,,,,,,,,,,,,
2008-11-03,1225688400000,15.28,53.68,2.70625,,,,,,,,,,,,,,,,,,,
2008-11-04,1225774800000,15.8557,47.73,2.50625,,,,,,,,,,,,,,,,,,,
2008-11-05,1225861200000,14.7571,54.56,2.3875,,,,,,,,,,,,,,,,,,,
2008-11-06,1225947600000,14.1571,63.68,2.29,,,,,,,,,,,,,,,,,,,
2008-11-07,1226034000000,14.0343,56.1,2.235,,,,,,,,,,,,,,,,,,,
2008-11-10,1226293200000,13.6971,59.98,2.175,,,,,,,,,,,,,,,,,,,
2008-11-11,1226379600000,13.5386,61.44,2.1325,,,,,,,,,,,,,,,,,,,
2008-11-12,1226466000000,12.8743,66.46,2.14875,,,,,,,,,,,,,,,,,,,
2008-11-13,1226552400000,13.7771,59.83,2.23625,,,,,,,,,,,,,,,,,,,
2008-11-14,1226638800000,12.8914,66.31,2.23875,,,,,,,,,,,,,,,,,,,
2008-11-17,1226898000000,12.5914,69.15,2.2175,,,,,,,,,,,,,,,,,,,
2008-11-18,1226984400000,12.8443,67.64,2.1725,,,,,,,,,,,,,,,,,,,
2008-11-19,1227070800000,12.3271,74.26,2.15313,,,,,,,,,,,,,,,,,,,
2008-11-20,1227157200000,11.4986,80.86,2.1575,,,,,,,,,,,,,,,,,,,
2008-11-21,1227243600000,11.7971,72.67,2.16875,,,,,,,,,,,,,,,,,,,
2008-11-24,1227502800000,13.2786,64.7,2.19625,,,,,,,,,,,,,,,,,,,
2008-11-25,1227589200000,12.9714,60.9,2.18125,,,,,,,,,,,,,,,,,,,
2008-11-26,1227675600000,13.5714,54.92,2.2025,,,,,,,,,,,,,,,,,,,
2008-11-28,1227848400000,13.2386,55.28,2.2168799999999997,,,,,,,,,,,,,,,,,,,
2008-12-01,1228107600000,12.7043,68.51,2.22,,,,,,,,,,,,,,,,,,,
2008-12-02,1228194000000,13.21,62.98,2.21,,,,,,,,,,,,,,,,,,,
2008-12-03,1228280400000,13.7,60.72,2.20125,,,,,,,,,,,,,,,,,,,
2008-12-04,1228366800000,13.0586,63.64,2.1925,,,,,,,,,,,,,,,,,,,
2008-12-05,1228453200000,13.4286,59.93,2.1856299999999997,,,,,,,,,,,,,,,,,,,
2008-12-08,1228712400000,14.2457,58.49,2.18938,78.11596867032584,2.223409363183073,0.7451906368169291,33.51567413344435,2.146711573217285,-2.146711573217285,-100.0,1.9372683537918083,0.3190466462081929,16.468892685090534,2.5690206743277324,-2.5690206743277324,-100.0,4.50628902811954,-2.2499740281195395,-49.92964308502081,0.28614100939126486,-0.28614100939126486,-100.0
2008-12-09,1228798800000,14.2943,58.91,2.16375,78.11290752153084,2.2305247680122884,0.8694752319877129,38.980747690263854,2.154463844621868,-2.154463844621868,-100.0,1.9434326971476912,0.4418523028523103,22.735662701404664,2.578283727587748,-2.578283727587748,-100.0,4.5217164247354384,-2.1364314247354383,-47.2482399172221,0.2870920708645972,-0.2870920708645972,-100.0
2008-12-10,1228885200000,14.03,55.73,2.09875,78.09345928698862,2.18779524778709,1.14080475221291,52.14403648452985,2.115377540221304,-2.115377540221304,-100.0,1.9060682192466527,0.7210317807533455,37.82822532124917,2.531529626302577,-2.531529626302577,-100.0,4.437597845549229,-1.8104978455492304,-40.799051842092965,0.2817270285404372,-0.2817270285404372,-100.0
2008-12-11,1228971600000,13.5714,55.78,1.99625,77.73127222755163,2.105288477337795,2.2376115226622053,106.28526906164123,2.038650653158255,-2.038650653158255,-100.0,1.83269810329344,1.83163189670656,99.9418231194235,2.441298387904925,-2.441298387904925,-100.0,4.273996491198365,-0.6096664911983654,-14.26455291795113,0.27259037404435493,-0.27259037404435493,-100.0
2008-12-12,1229058000000,14.0386,54.28,1.87125,77.877968275583,2.1799139699673846,1.4814860300326138,67.96075672907311,2.115288499579673,-2.115288499579673,-100.0,1.8981408261417407,1.0613291738582564,55.91414289400058,2.532214082234648,-2.532214082234648,-100.0,4.430354908376389,-1.4708849083763909,-33.2001597794212,0.2817731438256439,-0.2817731438256439,-100.0
2008-12-15,1229317200000,13.5357,56.76,1.8475,78.04714645852955,2.1059277050902283,2.1769722949097714,103.37355312092728,2.044406337925968,-2.044406337925968,-100.0,1.8343523744774601,1.7717626255225394,96.58791027145209,2.4465399389549902,-2.4465399389549902,-100.0,4.28089231343245,-0.6747773134324513,-15.762538836007533,0.2715753306127682,-0.2715753306127682,-100.0
2008-12-16,1229403600000,13.6329,52.37,1.5775,77.75706725465125,2.109513572314105,1.957886427685894,92.81222237115648,2.0565883254400976,-2.0565883254400976,-100.0,1.8361199335322351,1.5496350664677632,84.39726829209101,2.4621934243145294,-2.4621934243145294,-100.0,4.298313357846764,-0.9125583578467662,-21.23061493831877,0.27339363878187006,-0.27339363878187006,-100.0
2008-12-17,1229490000000,12.7371,49.84,1.525,78.26767250853491,1.9828182094878688,3.157181790512129,159.22699193526074,1.9350131602415672,-1.9350131602415672,-100.0,1.7276632865331374,2.775481713466861,160.6494584391127,2.3143229848245213,-2.3143229848245213,-100.0,4.041986271357659,0.4611587286423395,11.40921066234699,0.2551549229547314,-0.2551549229547314,-100.0
2008-12-18,1229576400000,12.7757,47.34,1.4975,78.16921402406325,1.986018199483304,3.2139818005166947,161.83043042369232,1.9389313515436888,-1.9389313515436888,-100.0,1.7300720171871884,2.8311429828128105,163.64307119513916,2.3194158268505918,-2.3194158268505918,-100.0,4.049487844037781,0.5117271559622179,12.636836451198482,0.25594618229611554,-0.25594618229611554,-100.0
2008-12-19,1229662800000,12.8571,44.93,1.46625,78.1164351098062,1.9969340491277263,3.323065950872272,166.4083975293931,1.9505342765528293,-1.9505342765528293,-100.0,1.7393629624951543,2.937782037504844,168.8998846618264,2.3334982012915133,-2.3334982012915133,-100.0,4.072861163786667,0.6042838362133303,14.83683857397949,0.257571086632572,-0.257571086632572,-100.0
2008-12-22,1229922000000,12.2486,44.56,1.46625,78.40229715627945,1.9092172871127893,4.709282712887212,246.66038510518703,1.8650135199832758,-1.8650135199832758,-100.0,1.663957705201672,4.3421122947983255,260.95088121678316,2.2299737497156835,-2.2299737497156835,-100.0,3.893931454917356,2.112138545082645,54.241800851819896,0.24525958191111719,-0.24525958191111719,-100.0
2008-12-23,1230008400000,12.34,45.02,1.4675,78.41903648713304,1.923880953880169,4.694719046119832,244.02336520101792,1.879309437896428,-1.879309437896428,-100.0,1.676797266479804,4.324802733520196,257.92043081030897,2.246997174696877,-2.246997174696877,-100.0,3.923794441176681,2.0778055588233193,52.95398599423622,0.24708368740036502,-0.24708368740036502,-100.0
2008-12-24,1230094800000,12.1486,44.21,1.4675,78.42319948980763,1.8941386566572824,4.885861343342716,257.9463402095988,1.8502584687253456,-1.8502584687253456,-100.0,1.6508891227041484,4.521680877295848,273.89367433043344,2.212244925375616,-2.212244925375616,-100.0,3.863134048079764,2.3094359519202343,59.781408648456775,0.24324953395313398,-0.24324953395313398,-100.0
2008-12-26,1230267600000,12.2586,43.38,1.4675,78.47369159617813,1.9124901135510468,4.266009886448955,223.0604935535051,1.8682126106468075,-1.8682126106468075,-100.0,1.6670595300340096,3.898510469965992,233.85550424143867,2.233498151984559,-2.233498151984559,-100.0,3.9005576820185692,1.6650123179814322,42.68651956249948,0.24543058351703717,-0.24543058351703717,-100.0
2008-12-29,1230526800000,12.3729,43.9,1.45875,78.44651396534273,1.9295564627941684,4.1532435372058325,215.2434311868526,1.8851321017287503,-1.8851321017287503,-100.0,1.6818336595407493,3.7823213404592506,224.89271272475742,2.2538330804220603,-2.2538330804220603,-100.0,3.9356667399628096,1.5284882600371903,38.83683149584037,0.2477228032534191,-0.2477228032534191,-100.0
2008-12-30,1230613200000,12.3271,41.63,1.435,78.44940896552171,1.9221764826759469,4.260723517324055,221.66141120364318,1.8786358888933936,-1.8786358888933936,-100.0,1.6753931332607364,3.8911518667392655,232.253062847769,2.246030509789056,-2.246030509789056,-100.0,3.921423643049792,1.6451213569502088,41.95214561594155,0.24678334941521052,-0.24678334941521052,-100.0
2008-12-31,1230699600000,12.1929,40.0,1.425,78.36210775692,1.8990574320501,3.6823425679499007,193.90369695005387,1.8562904351922205,-1.8562904351922205,-100.0,1.6549327270704906,3.3168222729295094,200.42036867570096,2.2196723803697185,-2.2196723803697185,-100.0,3.8746051074402086,1.097149892559791,28.316431278454395,0.24412470497960936,-0.24412470497960936,-100.0
