Date,Price
6/29/2010,23.889999
6/30/10,23.83
7/1/10,21.959999
7/2/10,19.200001
7/6/10,16.110001
7/7/10,15.8
7/8/10,17.459999
7/9/10,17.4
7/12/10,17.049999
7/13/10,18.139999
7/14/10,19.84
7/15/10,19.889999
7/16/10,20.639999
7/19/10,21.91
7/20/10,20.299999
7/21/10,20.219999
7/22/10,21
7/23/10,21.290001
7/26/10,20.950001
7/27/10,20.549999
7/28/10,20.719999
7/29/10,20.35
7/30/10,19.940001
8/2/10,20.92
8/3/10,21.950001
8/4/10,21.26
8/5/10,20.450001
8/6/10,19.59
8/9/10,19.6
8/10/10,19.030001
8/11/10,17.9
8/12/10,17.6
8/13/10,18.32
8/16/10,18.780001
8/17/10,19.15
8/18/10,18.77
8/19/10,18.790001
8/20/10,19.1
8/23/10,20.129999
8/24/10,19.200001
8/25/10,19.9
8/26/10,19.75
8/27/10,19.700001
8/30/10,19.870001
8/31/10,19.48
9/1/10,20.450001
9/2/10,21.059999
9/3/10,21.049999
9/7/10,20.540001
9/8/10,20.9
9/9/10,20.709999
9/10/10,20.17
9/13/10,20.719999
9/14/10,21.120001
9/15/10,21.98
9/16/10,20.940001
9/17/10,20.23
9/20/10,21.059999
9/21/10,20.77
9/22/10,19.870001
9/23/10,19.559999
9/24/10,20.1
9/27/10,20.530001
9/28/10,21.4
9/29/10,21.98
9/30/10,20.41
10/1/10,20.6
10/4/10,20.99
10/5/10,21.120001
10/6/10,20.459999
10/7/10,20.43
10/8/10,20.43
10/11/10,20.24
10/12/10,20.24
10/13/10,20.540001
10/14/10,20.75
10/15/10,20.540001
10/18/10,20.23
10/19/10,20.049999
10/20/10,20.65
10/21/10,20.75
10/22/10,20.719999
10/25/10,20.85
10/26/10,21.360001
10/27/10,21
10/28/10,21.190001
10/29/10,21.84
11/1/10,21.41
11/2/10,21.25
11/3/10,21.77
11/4/10,24.9
11/5/10,24.440001
11/8/10,24.98
11/9/10,24.629999
11/10/10,29.360001
11/11/10,28.040001
11/12/10,29.84
11/15/10,30.799999
11/16/10,29.67
11/17/10,29.49
11/18/10,29.889999
11/19/10,30.99
11/22/10,33.400002
11/23/10,34.57
11/24/10,35.470001
11/26/10,35.32
11/29/10,34.330002
11/30/10,35.330002
12/1/10,34.349998
12/2/10,32.349998
12/3/10,31.49
12/6/10,30.309999
12/7/10,31.559999
12/8/10,32.369999
12/9/10,32.049999
12/10/10,31.52
12/13/10,30.549999
12/14/10,28.530001
12/15/10,29.6
12/16/10,30.809999
12/17/10,31.360001
12/20/10,31.700001
12/21/10,32.259998
12/22/10,32.630001
12/23/10,30.09
12/27/10,25.549999
12/28/10,26.41
12/29/10,27.73
12/30/10,26.5
12/31/10,26.629999
1/3/11,26.620001
1/4/11,26.67
1/5/11,26.83
1/6/11,27.879999
1/7/11,28.24
1/10/11,28.450001
1/11/11,26.959999
1/12/11,26.959999
1/13/11,26.219999
1/14/11,25.75
1/18/11,25.639999
1/19/11,24.030001
1/20/11,22.620001
1/21/11,23.040001
1/24/11,24.49
1/25/11,24.68
1/26/11,24.75
1/27/11,24.92
1/28/11,24.01
1/31/11,24.1
2/1/11,23.91
2/2/11,23.940001
2/3/11,23.629999
2/4/11,23.459999
2/7/11,23.07
2/8/11,24.49
2/9/11,23.209999
2/10/11,23.219999
2/11/11,23.25
2/14/11,23.08
2/15/11,22.84
2/16/11,24.73
2/17/11,23.6
2/18/11,23.18
2/22/11,21.870001
2/23/11,21.83
2/24/11,22.530001
2/25/11,23.610001
2/28/11,23.889999
3/1/11,23.940001
3/2/11,24.02
3/3/11,24.360001
3/4/11,24.950001
3/7/11,24.940001
3/8/11,24.66
3/9/11,24.719999
3/10/11,24.01
3/11/11,24.07
3/14/11,23.25
3/15/11,22.950001
3/16/11,22.82
3/17/11,22.809999
3/18/11,22.959999
3/21/11,22.73
3/22/11,22.190001
3/23/11,22.209999
3/24/11,22.33
3/25/11,22.75
3/28/11,23.25
3/29/11,23.92
3/30/11,23.709999
3/31/11,27.75
4/1/11,26.66
4/4/11,25.83
4/5/11,26.700001
4/6/11,26.49
4/7/11,27.24
4/8/11,26.49
4/11/11,25.27
4/12/11,24.65
4/13/11,24.93
4/14/11,25.139999
4/15/11,25.58
4/18/11,25.030001
4/19/11,25.16
4/20/11,25.75
4/21/11,26.74
4/25/11,26.389999
4/26/11,26.93
4/27/11,27.08
4/28/11,27.66
4/29/11,27.6
5/2/11,27.450001
5/3/11,26.870001
5/4/11,26.690001
5/5/11,26.440001
5/6/11,27.120001
5/9/11,27.91
5/10/11,28.33
5/11/11,27.07
5/12/11,27.67
5/13/11,27.549999
5/16/11,26.6
5/17/11,25.959999
5/18/11,26.35
5/19/11,28.200001
5/20/11,27.969999
5/23/11,26.82
5/24/11,26.719999
5/25/11,28.98
5/26/11,29.48
5/27/11,29.549999
5/31/11,30.139999
6/1/11,28.52
6/2/11,28.76
6/3/11,30.129999
6/6/11,28.700001
6/7/11,28.370001
6/8/11,27.120001
6/9/11,27.620001
6/10/11,27.860001
6/13/11,28.43
6/14/11,28.6
6/15/11,27.32
6/16/11,26.5
6/17/11,26.5
6/20/11,26.01
6/21/11,27.530001
